hcpcs,single_dose,effective_note,source
J0881,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0883,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0893,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0894,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0895,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0896,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J0897,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1095,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1096,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1097,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1110,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1120,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
J1165,True,JZ required (no waste) or JW (waste on 2nd line) for DOS >= 2023-07-01,CMS JW/JZ Policy HCPCS list (updated 2025-06-20)
