generic_name,company_name,therapeutic_category,dosage_form,status,availability,package_ndc,initial_posting_date,update_date,update_type,source_id
Dopamine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Cardiovascular,Injection,Current,Available,0409-5820-01,11/06/2017,05/08/2026,Reverified,openfda_drug_shortages
Iron Sucrose Injection,"Mylan Institutional, a Viatris Company",Hematology,Injection,To Be Discontinued,,67457-957-99,05/21/2026,05/21/2026,New,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia; Pediatric,Injection,Current,Available,63323-202-02,02/22/2012,04/23/2026,Reverified,openfda_drug_shortages
Ropivacaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia,Injection,Current,Available,63323-288-11,03/23/2018,04/23/2026,Reverified,openfda_drug_shortages
Atropine Sulfate Injection,"Amphastar Pharmaceuticals, Inc.",Anesthesia; Neurology; Pediatric,Injection,Current,Available,76329-3340-1,01/01/2020,05/16/2026,Reverified,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Granules Pharmaceuticals Inc.,Psychiatry,Tablet,Current,Available,70010-113-01,10/12/2022,04/20/2026,Reverified,openfda_drug_shortages
Rocuronium Bromide Injection,Baxter Healthcare,Anesthesia,Injection,Current,Available,43066-007-10,02/15/2023,05/16/2026,Reverified,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,Eugia US LLC,Anesthesia,Injection,Current,Available,55150-296-10,04/10/2020,04/08/2026,Revised,openfda_drug_shortages
"Fluvastatin Sodium Tablet, Extended Release",Sandoz Inc.,Cardiovascular,Tablet,To Be Discontinued,,66758-211-31,01/27/2026,01/27/2026,New,openfda_drug_shortages
Idelalisib Tablet,"Gilead Sciences, Inc.",Oncology,Tablet,To Be Discontinued,,61958-1701-1,04/07/2026,04/07/2026,New,openfda_drug_shortages
Quinapril/Hydrochlorothiazide Tablet,Chartwell Molecular Holdings LLC,Cardiovascular,Tablet,Current,Available,62135-668-90,01/19/2023,05/19/2026,Reverified,openfda_drug_shortages
Rocuronium Bromide Injection,Piramal Critical Care Inc.,Anesthesia,Injection,Current,Limited Availability,66794-229-41,02/15/2023,05/05/2026,Reverified,openfda_drug_shortages
Hydrocortisone Sodium Succinate Injection,"Hospira, Inc., a Pfizer Company",Pulmonary/Allergy; Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Pediatric; Renal; Rheumatology,Injection,Resolved,,0009-0016-12,03/24/2023,02/24/2026,Revised,openfda_drug_shortages
Quinapril Hydrochloride Tablet,"Solco Healthcare US, LLC",Cardiovascular,Tablet,Current,Unavailable,43547-410-09,01/19/2023,04/29/2026,Reverified,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,"Mylan Institutional, a Viatris Company",Anesthesia,Injection,Current,Available,67457-925-10,04/10/2020,05/19/2026,Reverified,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Oryza Pharmaceuticals Inc.,Psychiatry,Tablet,Current,Unavailable,72516-014-01,10/12/2022,04/01/2026,Revised,openfda_drug_shortages
Ketorolac Tromethamine Injection,"Hikma Pharmaceuticals USA, Inc.",Analgesia/Addiction,Injection,Current,Unavailable,0641-6042-25,06/06/2018,05/12/2026,Reverified,openfda_drug_shortages
Rifampin Capsule,"Epic Pharma, LLC",Anti-Infective,Capsule,Current,Available,42806-801-30,12/22/2021,05/18/2026,Reverified,openfda_drug_shortages
Ropivacaine Hydrochloride Injection,Eugia US LLC,Anesthesia,Injection,Current,Available,55150-196-99,03/23/2018,05/05/2026,Revised,openfda_drug_shortages
Ketorolac Tromethamine Injection,Gland Pharma Limited,Analgesia/Addiction,Injection,Current,Available,70860-700-02,03/23/2018,04/27/2026,Revised,openfda_drug_shortages
Remifentanil Hydrochloride Injection,"Fresenius Kabi USA, LLC",Analgesia/Addiction,Injection,Current,Available,63323-725-10,06/28/2022,04/23/2026,Reverified,openfda_drug_shortages
Sufentanil Citrate Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction; Pediatric,Injection,Current,Available,0409-3382-21,05/03/2022,05/08/2026,Reverified,openfda_drug_shortages
"Guanfacine Hydrochloride Tablet, Extended Release","Actavis Pharma, Inc.",Psychiatry,Tablet,To Be Discontinued,,0228-2850-11,11/13/2025,11/13/2025,New,openfda_drug_shortages
Lasmiditan Succinate Tablet,Eli Lilly and Co.,Neurology,Tablet,To Be Discontinued,,0002-4491-08,11/03/2025,11/03/2025,New,openfda_drug_shortages
Ropivacaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia,Injection,Current,Unavailable,63323-287-20,03/23/2018,04/23/2026,Reverified,openfda_drug_shortages
Ropivacaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia,Injection,Current,Available,63323-285-65,03/23/2018,04/23/2026,Reverified,openfda_drug_shortages
Ketorolac Tromethamine Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction,Injection,Current,Unavailable,0409-3796-01,03/26/2018,05/08/2026,Reverified,openfda_drug_shortages
Rifampin Injection,Sanofi-Aventis U.S. LLC,Anti-Infective,Injection,To Be Discontinued,,0068-0597-01,04/20/2026,04/20/2026,New,openfda_drug_shortages
Dextrose Monohydrate 10% Injection,Baxter Healthcare,Endocrinology/Metabolism; Gastroenterology; Other; Pediatric,Injection,Current,Available,0338-0023-04,03/01/2022,05/16/2026,Reverified,openfda_drug_shortages
Lidocaine Hydrochloride Injection,Sintetica US,Anesthesia; Pediatric,Injection,Current,Available,83090-003-10,02/22/2012,08/19/2025,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Elite Laboratories, Inc.",Psychiatry,Capsule,Current,Limited Availability,64850-553-01,07/14/2023,05/18/2026,Reverified,openfda_drug_shortages
Azelastine Hydrochloride; Fluticasone Propionate Nasal Spray,"Mylan Pharmaceuticals Inc., a Viatris Company",Pulmonary/Allergy,Nasal Spray,To Be Discontinued,,0378-3458-23,09/04/2025,09/04/2025,New,openfda_drug_shortages
Bumetanide Injection,"Hikma Pharmaceuticals USA, Inc.",Cardiovascular,Injection,Current,Available,0641-6008-10,01/31/2018,05/12/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Rhodes Pharmaceuticals L.P.,Psychiatry,Capsule,Current,Available,42858-164-01,07/14/2023,05/08/2026,Revised,openfda_drug_shortages
Tiagabine Hydrochloride Tablet,"Teva Pharmaceuticals USA, Inc.",Neurology,Tablet,To Be Discontinued,,0093-8072-56,04/15/2026,04/15/2026,New,openfda_drug_shortages
Amlodipine Besylate; Benazepril Hydrochloride Capsule,Novartis Pharmaceuticals Corporation,Cardiovascular,Capsule,To Be Discontinued,,0078-0405-05,06/24/2025,06/24/2025,New,openfda_drug_shortages
Levothyroxine Sodium Tablet,"EMD Serono, Inc.",Endocrinology/Metabolism,Tablet,To Be Discontinued,,72305-075-30,07/10/2025,07/10/2025,New,openfda_drug_shortages
Lidocaine Hydrochloride Injection,Eugia US LLC,Anesthesia,Injection,Current,Available,55150-163-30,02/20/2018,05/05/2026,Revised,openfda_drug_shortages
Sterile Water Irrigant,Otsuka ICU Medical LLC,Gastroenterology; Other; Pediatric,Irrigant,Current,Unavailable,0990-7139-36,04/28/2023,05/15/2026,Revised,openfda_drug_shortages
Sterile Water Irrigant,B. Braun Medical Inc.,Gastroenterology; Other; Pediatric,Irrigant,Current,Available,0264-2101-00,04/28/2023,05/19/2026,Reverified,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia; Pediatric,Injection,Current,Available,63323-492-27,02/22/2012,04/23/2026,Reverified,openfda_drug_shortages
Rocuronium Bromide Injection,"Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-7037-10,02/15/2023,05/08/2026,Revised,openfda_drug_shortages
Technetium TC-99M Pyrophosphate Kit Injection,"Sun Pharmaceutical Industries, Inc.",Medical Imaging,Injection,Current,Unavailable,45567-0060-2,12/27/2023,04/17/2026,Revised,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia; Pediatric,Injection,Current,Unavailable,63323-492-31,02/22/2012,04/23/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,SpecGx LLC,Psychiatry,Capsule,Current,Limited Availability,0406-5115-01,07/14/2023,05/08/2026,Revised,openfda_drug_shortages
Sulconazole Nitrate Solution,Journey Medical Corporation,Dermatology,Solution,To Be Discontinued,,72143-321-30,05/08/2026,05/08/2026,New,openfda_drug_shortages
Azacitidine Injection,"Meitheal Pharmaceuticals, Inc.",Oncology,Injection,Current,Available,71288-115-30,12/18/2020,08/19/2025,Reverified,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia; Pediatric,Injection,Current,Available,0409-4277-02,02/22/2012,05/08/2026,Reverified,openfda_drug_shortages
Sodium Acetate Injection,Milla Pharmaceuticals,Endocrinology/Metabolism; Gastroenterology; Pediatric; Total Parenteral Nutrition,Injection,Current,Available,71357-002-10,02/03/2016,05/15/2026,Reverified,openfda_drug_shortages
Dextrose Monohydrate 5% Injection,Baxter Healthcare,Endocrinology/Metabolism; Gastroenterology; Other; Pediatric,Injection,Current,Unavailable,0338-0066-20,02/14/2022,05/16/2026,Reverified,openfda_drug_shortages
Lidocaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia; Pediatric,Injection,Current,Available,63323-492-37,02/22/2012,04/23/2026,Reverified,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Epic Pharma, LLC",Psychiatry,Tablet,Current,Available,42806-341-01,10/12/2022,05/18/2026,Reverified,openfda_drug_shortages
Atropine Sulfate Injection,Accord Healthcare Inc.,Anesthesia; Neurology; Pediatric,Injection,Current,Unavailable,16729-512-43,01/01/2012,05/01/2026,Reverified,openfda_drug_shortages
Acetaminophen; Oxycodone Hydrochloride Tablet,"Endo Pharmaceuticals, Inc.",Analgesia/Addiction,Tablet,To Be Discontinued,,60951-700-70,11/03/2025,11/03/2025,New,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Takeda Pharmaceuticals USA Inc.,Psychiatry,Capsule,Current,Available,59417-106-10,07/14/2023,05/08/2026,Reverified,openfda_drug_shortages
Sodium Bicarbonate Injection,"Hospira, Inc., a Pfizer Company",Endocrinology/Metabolism; Gastroenterology; Pediatric,Injection,To Be Discontinued,,0409-5534-14,11/07/2025,11/07/2025,New,openfda_drug_shortages
"Epinephrine Bitartrate, Lidocaine Hydrochloride Injection","Hospira, Inc., a Pfizer Company",Anesthesia; Pediatric,Injection,Current,Available,0409-3182-03,02/22/2012,05/08/2026,Reverified,openfda_drug_shortages
"Lisdexamfetamine Dimesylate Tablet, Chewable","Sun Pharmaceutical Industries, Inc.",Psychiatry,"Tablet, Chewable",Current,Available,57664-086-88,07/14/2023,04/17/2026,Revised,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release","Teva Pharmaceuticals USA, Inc.",Psychiatry,Tablet,Current,Available,62037-734-01,07/26/2023,05/18/2026,Revised,openfda_drug_shortages
Clindamycin Phosphate Injection,Pfizer Inc.,Anti-Infective,Injection,Current,Available,0009-0902-18,03/21/2023,05/08/2026,Reverified,openfda_drug_shortages
Clonazepam Tablet,"Teva Pharmaceuticals USA, Inc.",Neurology; Pediatric; Psychiatry,Tablet,Current,Limited Availability,0093-0832-01,03/10/2023,05/01/2026,Revised,openfda_drug_shortages
Methylprednisolone Acetate Injection,Amneal Pharmaceuticals,Rheumatology,Injection,Current,Available,70121-1574-5,12/15/2021,02/09/2026,Revised,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1160-01,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Echothiophate Iodide Ophthalmic Solution,Fera Pharmaceuticals,Ophthalmology,Ophthalmic Solution,Current,Available,48102-053-05,09/24/2019,05/21/2026,Reverified,openfda_drug_shortages
Liraglutide Injection,"Hikma Pharmaceuticals USA, Inc.",Endocrinology/Metabolism,Injection,Current,Available,0143-9144-03,07/18/2023,05/12/2026,Reverified,openfda_drug_shortages
"Lisdexamfetamine Dimesylate Tablet, Chewable",Novadoz Pharmaceuticals LLC,Psychiatry,"Tablet, Chewable",Current,Available,72205-134-91,07/14/2023,04/02/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction,Injection,Current,Available,0409-1761-62,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,Eugia US LLC,Anesthesia,Injection,Current,Unavailable,55150-171-10,02/20/2018,05/05/2026,Revised,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Apotex Corp.,Psychiatry,Capsule,Current,Available,60505-4742-1,11/01/2023,05/20/2026,Revised,openfda_drug_shortages
Azacitidine Injection,Accord Healthcare Inc.,Oncology,Injection,Current,Available,16729-306-10,12/21/2020,05/18/2026,Reverified,openfda_drug_shortages
Dextrose Monohydrate 70% Injection,B. Braun Medical Inc.,Endocrinology/Metabolism; Gastroenterology; Other; Pediatric,Injection,Current,Available,0264-7387-50,10/11/2024,05/19/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Lannett Company, Inc.",Psychiatry,Capsule,Current,Limited Availability,0527-4661-37,07/14/2023,05/15/2026,Revised,openfda_drug_shortages
Meperidine Hydrochloride Injection,"Hikma Pharmaceuticals USA, Inc.",Analgesia/Addiction,Injection,Current,Available,0641-6052-25,05/30/2025,05/12/2026,Reverified,openfda_drug_shortages
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection","Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1749-10,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Somerset Therapeutics, LLC",Anesthesia,Injection,Current,Available,70069-753-25,02/20/2018,05/08/2026,Revised,openfda_drug_shortages
Methotrexate Injection,"Assertio Specialty Pharmaceuticals, LLC",Rheumatology,Injection,To Be Discontinued,,82497-025-04,08/29/2025,08/29/2025,New,openfda_drug_shortages
Bumetanide Injection,Sagent Pharmaceuticals,Cardiovascular,Injection,Current,Limited Availability,25021-321-10,01/31/2018,04/23/2026,Reverified,openfda_drug_shortages
Azacitidine Injection,"Fresenius Kabi USA, LLC",Oncology,Injection,Current,Available,63323-771-39,12/18/2020,05/08/2026,Revised,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Teva Pharmaceuticals USA, Inc.",Psychiatry,Capsule,Current,Available,0480-3570-01,07/14/2023,05/18/2026,Revised,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release","Vertical Pharmaceuticals, LLC",Psychiatry,Tablet,Current,Available,68025-097-30,07/26/2023,05/18/2026,Reverified,openfda_drug_shortages
Celecoxib Capsule,"Teva Pharmaceuticals USA, Inc.",Analgesia/Addiction,Capsule,To Be Discontinued,,0591-3984-01,08/15/2025,08/15/2025,New,openfda_drug_shortages
Cisatracurium Besylate Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction,Injection,To Be Discontinued,,0409-1208-01,05/06/2026,05/06/2026,New,openfda_drug_shortages
Methotrexate Sodium Injection,Accord Healthcare Inc.,Rheumatology; Oncology,Injection,Current,Available,16729-277-35,03/13/2023,05/18/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,Kindos Pharmaceuticals Co. Ltd.,Anesthesia,Injection,To Be Discontinued,,71288-725-32,05/05/2026,05/05/2026,New,openfda_drug_shortages
Esterified Estrogens Tablet,Pfizer Inc.,Endocrinology/Metabolism,Tablet,To Be Discontinued,,61570-074-01,07/29/2025,07/29/2025,New,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release","Trigen Laboratories, LLC",Psychiatry,Tablet,Current,Limited Availability,13811-710-30,07/26/2023,05/18/2026,Reverified,openfda_drug_shortages
Omeprazole Delayed Release Capsule,Sandoz Inc.,Gastroenterology,,To Be Discontinued,,0781-2234-31,10/09/2025,10/09/2025,New,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,Amneal Pharmaceuticals,Anesthesia,Injection,Current,Available,70121-1388-1,04/10/2020,02/09/2026,Reverified,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,"Jiangsu Hengrui Pharmaceuticals Co., Ltd.",Anesthesia,Injection,Current,Available,0781-3495-95,04/10/2020,04/06/2026,Reverified,openfda_drug_shortages
Naltrexone Hydrochloride Tablet,"Sun Pharmaceutical Industries, Inc.",Analgesia/Addiction,Tablet,Resolved,,47335-326-83,02/29/2024,02/11/2026,Revised,openfda_drug_shortages
Dexamethasone Sodium Phosphate Injection,"Somerset Therapeutics, LLC",Dermatology; Endocrinology/Metabolism; Gastroenterology; Hematology; Neurology; Oncology; Ophthalmology; Other; Pulmonary/Allergy; Rheumatology,Injection,Current,Available,70069-021-25,02/08/2019,05/08/2026,Reverified,openfda_drug_shortages
Dextrose Monohydrate 5% Injection,B. Braun Medical Inc.,Endocrinology/Metabolism; Gastroenterology; Other; Pediatric,Injection,Current,Available,0264-7510-10,02/14/2022,05/19/2026,Reverified,openfda_drug_shortages
Lorazepam Injection,"Hikma Pharmaceuticals USA, Inc.",Neurology,Injection,Current,Limited Availability,0641-6044-25,09/05/2018,05/12/2026,Reverified,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.",Psychiatry,Tablet,Current,Available,11534-195-01,10/12/2022,05/18/2026,Reverified,openfda_drug_shortages
Clonazepam Tablet,Rubicon Research Private Limited,Neurology; Pediatric; Psychiatry,Tablet,Current,Available,72888-153-30,03/10/2023,01/05/2026,Reverified,openfda_drug_shortages
Desipramine Hydrochloride Tablet,"Avet Pharmaceuticals, Inc.",Psychiatry,Tablet,To Be Discontinued,,23155-578-01,08/12/2025,08/12/2025,New,openfda_drug_shortages
Metoprolol Tartrate Tablet,Aurobindo Pharma USA,Cardiovascular,Tablet,To Be Discontinued,,65862-062-01,06/03/2025,06/03/2025,New,openfda_drug_shortages
Busulfan Injection,"Mylan Institutional, a Viatris Company",Hematology,Injection,To Be Discontinued,,67457-893-08,10/24/2025,10/24/2025,New,openfda_drug_shortages
Bumetanide Injection,Mullan Pharmaceutical Inc.,Cardiovascular,Injection,Current,Limited Availability,83301-0081-2,12/13/2017,04/08/2026,Revised,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Sunrise Pharmaceutical, Inc.",Psychiatry,Tablet,Current,Available,11534-190-01,10/12/2022,05/18/2026,Reverified,openfda_drug_shortages
Midazolam Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia; Neurology,Injection,Current,Available,0409-2587-05,04/02/2020,05/08/2026,Reverified,openfda_drug_shortages
Desmopressin Acetate Spray,Ferring,Hematology,Spray,Current,Unavailable,0053-6871-00,03/12/2021,05/01/2026,Reverified,openfda_drug_shortages
Amino Acid Injection,Otsuka ICU Medical LLC,Gastroenterology,Injection,Current,Unavailable,0990-4179-05,12/08/2020,05/15/2026,Revised,openfda_drug_shortages
Midazolam Hydrochloride Injection,"Avet Pharmaceuticals, Inc.",Anesthesia; Neurology,Injection,Current,Limited Availability,23155-601-42,04/02/2020,05/19/2026,Revised,openfda_drug_shortages
Carboplatin Injection,"Hospira, Inc., a Pfizer Company",Oncology,Injection,Current,Limited Availability,61703-339-22,04/28/2023,05/08/2026,Revised,openfda_drug_shortages
Esterified Estrogens Tablet,Pfizer Inc.,Endocrinology/Metabolism,Tablet,To Be Discontinued,,61570-072-01,07/29/2025,07/29/2025,New,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release","Lannett Company, Inc.",Psychiatry,Tablet,Current,Available,62175-310-37,07/26/2023,05/15/2026,Reverified,openfda_drug_shortages
Nebivolol Hydrochloride Tablet,Torrent Pharmaceuticals Limited,Cardiovascular,Tablet,To Be Discontinued,,13668-353-30,03/25/2026,03/25/2026,New,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,Gland Pharma Limited,Anesthesia,Injection,Current,Available,43598-975-58,04/10/2020,04/24/2026,Reverified,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,"Par Health, USA LLC",Anesthesia,Injection,Current,Available,42023-186-20,04/10/2020,05/01/2026,Reverified,openfda_drug_shortages
Morphine Sulfate Injection,"Fresenius Kabi USA, LLC",Analgesia/Addiction,Injection,Current,Unavailable,76045-005-11,10/31/2017,04/23/2026,Reverified,openfda_drug_shortages
Clindamycin Phosphate Injection,Sandoz Inc.,Anti-Infective,Injection,Current,Available,0781-3290-09,03/21/2023,05/11/2026,Reverified,openfda_drug_shortages
Etomidate Injection,Gland Pharma Limited,Anesthesia,Injection,Current,Available,72266-146-10,10/05/2022,04/24/2026,Reverified,openfda_drug_shortages
Oseltamivir Phosphate Capsule,"Genentech, Inc",Antiviral,Capsule,To Be Discontinued,,0004-0802-85,07/08/2025,07/08/2025,New,openfda_drug_shortages
Prazosin Hydrochloride Capsule,Pfizer Inc.,Cardiovascular,Capsule,To Be Discontinued,,0069-4310-71,04/28/2023,04/28/2023,New,openfda_drug_shortages
Dopamine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Cardiovascular,Injection,To Be Discontinued,,0409-7809-24,08/27/2025,08/27/2025,New,openfda_drug_shortages
Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,Cardiovascular,Tablet,To Be Discontinued,,13668-385-90,06/13/2025,06/13/2025,New,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet","Teva Pharmaceuticals USA, Inc.",Psychiatry,Tablet,Current,Available,0555-0974-02,10/12/2022,05/18/2026,Revised,openfda_drug_shortages
Dextrose Monohydrate 5% Injection,Baxter Healthcare,Endocrinology/Metabolism; Gastroenterology; Other; Pediatric,Injection,Current,Available,0338-9664-40,02/14/2022,05/16/2026,Reverified,openfda_drug_shortages
Dextrose Monohydrate 70% Injection,Otsuka ICU Medical LLC,Endocrinology/Metabolism; Gastroenterology; Other; Pediatric,Injection,Current,Available,0990-7918-19,10/11/2024,05/15/2026,Revised,openfda_drug_shortages
Methylprednisolone Acetate Injection,Pfizer Inc.,Rheumatology,Injection,Current,Limited Availability,0009-0280-52,12/15/2021,05/08/2026,Revised,openfda_drug_shortages
Phentermine Hydrochloride Tablet,"Teva Pharmaceuticals USA, Inc.",Other,Tablet,To Be Discontinued,,57844-140-01,06/13/2025,06/13/2025,New,openfda_drug_shortages
Dextrose Monohydrate 10% Injection,"Fresenius Kabi USA, LLC",Endocrinology/Metabolism; Gastroenterology; Other; Pediatric,Injection,Current,Available,63323-824-75,03/01/2022,04/23/2026,Reverified,openfda_drug_shortages
Dextrose Monohydrate 10% Injection,Otsuka ICU Medical LLC,Endocrinology/Metabolism; Gastroenterology; Other; Pediatric,Injection,Current,Available,0990-7938-19,03/01/2022,05/15/2026,Revised,openfda_drug_shortages
Nebivolol Hydrochloride Tablet,Torrent Pharmaceuticals Limited,Cardiovascular,Tablet,To Be Discontinued,,13668-355-05,03/25/2026,03/25/2026,New,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,Baxter Healthcare,Anesthesia,Injection,Current,Available,43066-555-24,04/10/2020,05/16/2026,Reverified,openfda_drug_shortages
Etomidate Injection,Eugia US LLC,Anesthesia,Injection,Current,Available,55150-222-20,10/05/2022,04/08/2026,Reverified,openfda_drug_shortages
Midazolam Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia; Neurology,Injection,Current,Limited Availability,0409-2305-05,04/02/2020,05/08/2026,Reverified,openfda_drug_shortages
Posaconazole Injection,Merck Sharp & Dohme Corp.,Anti-Infective,Injection,To Be Discontinued,,0085-4331-01,12/02/2025,12/02/2025,New,openfda_drug_shortages
Amlodipine Besylate; Hydrochlorothiazide; Olmesartan Medoxomil Tablet,Torrent Pharma Inc.,Cardiovascular,Tablet,To Be Discontinued,,13668-383-05,06/13/2025,06/13/2025,New,openfda_drug_shortages
Dextrose Monohydrate 50% Injection,"Hospira, Inc., a Pfizer Company",Endocrinology/Metabolism; Gastroenterology; Pediatric,Injection,Current,Unavailable,0409-4902-34,01/13/2022,05/08/2026,Reverified,openfda_drug_shortages
Penicillin G Benzathine Injection,Pfizer Inc.,Anti-Infective,Injection,Current,Unavailable,60793-700-10,04/26/2023,05/08/2026,Revised,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,Pfizer Inc.,Anesthesia,Injection,Current,Available,0409-2815-01,04/10/2020,05/08/2026,Reverified,openfda_drug_shortages
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection","Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Unavailable,0409-9043-01,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Morphine Sulfate Injection,"Hospira, Inc., a Pfizer Company",Analgesia/Addiction,Injection,To Be Discontinued,,0409-1893-01,07/08/2025,07/08/2025,New,openfda_drug_shortages
"Potassium Chloride Tablet, Extended Release","Upsher-Smith Laboratories, LLC",Endocrinology/Metabolism; Gastroenterology,Tablet,To Be Discontinued,,0245-5316-11,07/23/2025,07/23/2025,New,openfda_drug_shortages
Dobutamine Hydrochloride Injection,"Hainan Poly Pharm. Co., Ltd.",Cardiovascular; Pediatric; Renal,Injection,Current,Available,70436-203-80,11/06/2017,05/08/2026,Reverified,openfda_drug_shortages
Dobutamine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Cardiovascular; Pediatric; Renal,Injection,Current,Unavailable,0409-2346-32,11/06/2017,05/08/2026,Revised,openfda_drug_shortages
Phenobarbital Tablet,"Endo Pharmaceuticals, Inc.",Analgesia/Addiction; Neurology; Other,Tablet,To Be Discontinued,,0603-5167-21,10/31/2025,10/31/2025,New,openfda_drug_shortages
Dextrose Monohydrate 5% Injection,Otsuka ICU Medical LLC,Endocrinology/Metabolism; Gastroenterology; Other; Pediatric,Injection,Current,Available,0990-7922-61,02/14/2022,05/15/2026,Revised,openfda_drug_shortages
Fondaparinux Sodium Injection,"Jiangsu Hengrui Pharmaceuticals Co. (US Agent eVenus Pharmaceutical Laboratories, Inc.)",Hematology,Injection,To Be Discontinued,,0781-3476-95,09/29/2025,09/29/2025,New,openfda_drug_shortages
Rifampin Capsule,"Epic Pharma, LLC",Anti-Infective,Capsule,Current,Unavailable,42806-801-01,12/22/2021,05/18/2026,Reverified,openfda_drug_shortages
Ropivacaine Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia,Injection,Current,Available,63323-285-64,03/23/2018,04/23/2026,Reverified,openfda_drug_shortages
Furosemide Injection,"Avet Pharmaceuticals, Inc.",Cardiovascular,Injection,Current,Available,23155-473-41,04/07/2020,05/19/2026,Reverified,openfda_drug_shortages
