generic_name,company_name,therapeutic_category,dosage_form,status,availability,package_ndc,initial_posting_date,update_date,update_type,source_id
Lisdexamfetamine Dimesylate Capsule,"Lannett Company, Inc.",Psychiatry,Capsule,Current,Available,0527-4666-37,09/20/2023,05/15/2026,Reverified,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,"Hikma Pharmaceuticals USA, Inc.",Psychiatry,Capsule,Current,Limited Availability,0054-0374-25,07/14/2023,05/12/2026,Reverified,openfda_drug_shortages
Calcitriol Capsule,"Teva Pharmaceuticals USA, Inc.",Endocrinology/Metabolism,Capsule,To Be Discontinued,,0093-7353-01,12/04/2025,12/04/2025,New,openfda_drug_shortages
Calcitriol Capsule,"Teva Pharmaceuticals USA, Inc.",Endocrinology/Metabolism,Capsule,To Be Discontinued,,0093-7352-01,12/04/2025,12/04/2025,New,openfda_drug_shortages
Lisdexamfetamine Dimesylate Capsule,Alvogen,Psychiatry,Capsule,Current,Available,47781-566-01,07/14/2023,05/19/2026,Reverified,openfda_drug_shortages
Azithromycin Injection,Pfizer Inc.,Anti-Infective,Injection,To Be Discontinued,,0069-3150-83,01/20/2026,01/20/2026,New,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Huons Co., Ltd",Anesthesia,Injection,Current,Unavailable,73293-0002-2,02/20/2018,05/05/2026,Revised,openfda_drug_shortages
Methylprednisolone Acetate Injection,"Par Pharmaceutical, Inc.",Rheumatology,Injection,Current,Unavailable,42023-240-01,06/16/2022,05/08/2026,Revised,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release","Trigen Laboratories, LLC",Psychiatry,Tablet,Current,Limited Availability,13811-709-10,07/26/2023,05/18/2026,Reverified,openfda_drug_shortages
Clonazepam Tablet,Accord Healthcare Inc.,Neurology; Pediatric; Psychiatry,Tablet,Current,Available,16729-136-16,03/10/2023,05/18/2026,Reverified,openfda_drug_shortages
Dexmedetomidine Hydrochloride Injection,Baxter Healthcare,Anesthesia,Injection,Current,Available,43066-557-12,04/10/2020,05/16/2026,Reverified,openfda_drug_shortages
Midazolam Hydrochloride Injection,"Fresenius Kabi USA, LLC",Anesthesia; Neurology,Injection,Current,Unavailable,63323-412-10,04/02/2020,04/23/2026,Reverified,openfda_drug_shortages
Desonide Cream,"Actavis Pharma, Inc.",Dermatology,Cream,To Be Discontinued,,0472-0804-60,05/28/2025,05/28/2025,New,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1559-30,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
"Lisdexamfetamine Dimesylate Tablet, Chewable",Takeda Pharmaceuticals USA Inc.,Psychiatry,"Tablet, Chewable",Current,Available,59417-119-01,07/14/2023,05/08/2026,Reverified,openfda_drug_shortages
Lorazepam Injection,"Hikma Pharmaceuticals USA, Inc.",Neurology,Injection,Current,Unavailable,0641-6003-25,09/05/2018,05/12/2026,Reverified,openfda_drug_shortages
Amantadine Hydrochloride Tablet,"Upsher-Smith Laboratories, LLC",Antiviral; Neurology,Tablet,To Be Discontinued,,0832-0111-03,07/23/2025,07/23/2025,New,openfda_drug_shortages
Clindamycin Phosphate Injection,Sandoz Inc.,Anti-Infective,Injection,Current,Available,72572-074-24,03/21/2023,05/11/2026,Reverified,openfda_drug_shortages
"Methylphenidate Hydrochloride Tablet, Extended Release","Vertical Pharmaceuticals, LLC",Psychiatry,Tablet,Current,Available,68025-098-30,07/26/2023,05/18/2026,Reverified,openfda_drug_shortages
"Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection","Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1752-50,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Bupivacaine Hydrochloride Injection,"Hospira, Inc., a Pfizer Company",Anesthesia,Injection,Current,Available,0409-1559-10,02/20/2018,05/08/2026,Reverified,openfda_drug_shortages
Methotrexate Injection,"Assertio Specialty Pharmaceuticals, LLC",Rheumatology,Injection,To Be Discontinued,,82497-015-04,08/29/2025,08/29/2025,New,openfda_drug_shortages
"Amphetamine Aspartate Monohydrate, Amphetamine Sulfate, Dextroamphetamine Saccharate, Dextroamphetamine Sulfate Tablet",Alvogen,Psychiatry,Tablet,Current,Available,47781-179-01,10/12/2022,05/19/2026,Revised,openfda_drug_shortages
Carboplatin Injection,"Hospira, Inc., a Pfizer Company",Oncology,Injection,Current,Unavailable,61703-339-50,04/28/2023,05/08/2026,Revised,openfda_drug_shortages
Clonazepam Tablet,Accord Healthcare Inc.,Neurology; Pediatric; Psychiatry,Tablet,Current,Available,16729-136-00,03/10/2023,05/18/2026,Reverified,openfda_drug_shortages
Methylprednisolone Acetate Injection,Sagent Pharmaceuticals,Rheumatology,Injection,Current,Unavailable,25021-820-05,12/15/2021,04/23/2026,Reverified,openfda_drug_shortages
Clindamycin Phosphate Injection,Sagent Pharmaceuticals,Anti-Infective,Injection,Current,Available,25021-115-04,03/21/2023,04/23/2026,Reverified,openfda_drug_shortages
