outpatient_category,year,payer_type,doi_region,total_spend,member_months,pppy,source_id
Surgery,2018,CHP+,Ft. Collins,548528.75,55405,118.80416929879976,civhc_coc_fy23_outpatient
Surgery,2018,CHP+,Grand Junction,252262.13,32491,93.16874088209042,civhc_coc_fy23_outpatient
Surgery,2018,CHP+,Greeley,1395139.52,81122,206.37649762086735,civhc_coc_fy23_outpatient
Surgery,2018,CHP+,Pueblo,152110.45,25445,71.73611318530163,civhc_coc_fy23_outpatient
Surgery,2018,CHP+,West,1514972.54402451,110694,164.23356756729473,civhc_coc_fy23_outpatient
Surgery,2018,Commercial,All,864853258.16,16722956,620.5983617920181,civhc_coc_fy23_outpatient
Surgery,2018,Commercial,Boulder,46664693.69,1103603,507.40739584796336,civhc_coc_fy23_outpatient
Surgery,2018,Commercial,Colorado Springs,72762120.53,1538355,567.583845315288,civhc_coc_fy23_outpatient
Surgery,2018,Commercial,Denver,374683979.97,9558159,470.4052066553821,civhc_coc_fy23_outpatient
Surgery,2018,Commercial,East,51221322.05,612550,1003.4378656436209,civhc_coc_fy23_outpatient
Surgery,2018,Commercial,Ft. Collins,64388785.94,1042070,741.4717161802951,civhc_coc_fy23_outpatient
Surgery,2018,Commercial,Grand Junction,22722540.46,380432,716.7390900870589,civhc_coc_fy23_outpatient
Surgery,2018,Commercial,Greeley,66130992.15,934955,848.7808566187678,civhc_coc_fy23_outpatient
Surgery,2018,Commercial,Pueblo,24230303.11,358870,810.2199607657369,civhc_coc_fy23_outpatient
Surgery,2018,Commercial,West,127648198.14,1202570,1273.7540248634175,civhc_coc_fy23_outpatient
Surgery,2018,Medicaid,All,293492148.795717,15962571,220.6352463866005,civhc_coc_fy23_outpatient
Surgery,2018,Medicaid,Boulder,8975434.70753538,604603,178.1420477411203,civhc_coc_fy23_outpatient
Surgery,2018,Medicaid,Colorado Springs,37021137.8677917,2438850,182.1570225366465,civhc_coc_fy23_outpatient
Surgery,2018,Medicaid,Denver,123146802.222544,7580001,194.95533399936596,civhc_coc_fy23_outpatient
Surgery,2018,Medicaid,East,27219100.7542324,1113854,293.24238998180084,civhc_coc_fy23_outpatient
Surgery,2018,Medicaid,Ft. Collins,14103866.5474171,778796,217.3180121225651,civhc_coc_fy23_outpatient
Surgery,2018,Medicaid,Grand Junction,11512186.6375482,562021,245.80262952910726,civhc_coc_fy23_outpatient
Surgery,2018,Medicaid,Greeley,20669456.3740623,963247,257.4972737924412,civhc_coc_fy23_outpatient
Surgery,2018,Medicaid,Pueblo,14793022.8159217,854993,207.62307269306342,civhc_coc_fy23_outpatient
Surgery,2018,Medicaid,West,32120657.8146276,1195717,322.3571244496241,civhc_coc_fy23_outpatient
Surgery,2018,Medicare,All,348641268.66,6561020,637.6592700403291,civhc_coc_fy23_outpatient
Surgery,2018,Medicare,Boulder,18142819.35,348354,624.9787061437503,civhc_coc_fy23_outpatient
Surgery,2018,Medicare,Colorado Springs,44080425.34,898258,588.8788121898164,civhc_coc_fy23_outpatient
Surgery,2018,Medicare,Denver,113231477.66,2498356,543.8687408519843,civhc_coc_fy23_outpatient
Surgery,2018,Medicare,East,43462002.28,621495,839.1765458450993,civhc_coc_fy23_outpatient
Surgery,2018,Medicare,Ft. Collins,24262331.23,482963,602.8370180738483,civhc_coc_fy23_outpatient
Surgery,2018,Medicare,Grand Junction,11013297.63,271386,486.9800636731445,civhc_coc_fy23_outpatient
Surgery,2018,Medicare,Greeley,24091504.14,365154,791.7154123465716,civhc_coc_fy23_outpatient
Surgery,2018,Medicare,Pueblo,16883113.57,280978,721.0435081750172,civhc_coc_fy23_outpatient
Surgery,2018,Medicare,West,53118397.96,794388,802.4048393480265,civhc_coc_fy23_outpatient
Surgery,2018,Medicare Advantage,All,185867723.424961,3796212,587.5363865610066,civhc_coc_fy23_outpatient
Surgery,2018,Medicare Advantage,Boulder,9549275.13,207257,552.8947227837903,civhc_coc_fy23_outpatient
Surgery,2018,Medicare Advantage,Colorado Springs,17027803.9348539,415082,492.27296586757984,civhc_coc_fy23_outpatient
Surgery,2018,Medicare Advantage,Denver,104793408.01,2278558,551.893300991241,civhc_coc_fy23_outpatient
Surgery,2018,Medicare Advantage,East,5863389.81010739,114009,617.1502049951205,civhc_coc_fy23_outpatient
Surgery,2018,Medicare Advantage,Ft. Collins,13264227.26,208642,762.889193546841,civhc_coc_fy23_outpatient
Surgery,2018,Medicare Advantage,Grand Junction,1742258.72,109863,190.30159962862837,civhc_coc_fy23_outpatient
Surgery,2018,Medicare Advantage,Greeley,12397997.01,197453,753.4753289137161,civhc_coc_fy23_outpatient
Surgery,2018,Medicare Advantage,Pueblo,9424871.12,160079,706.5164914823306,civhc_coc_fy23_outpatient
Surgery,2018,Medicare Advantage,West,2739165.04,107142,306.78893879151036,civhc_coc_fy23_outpatient
Surgery,2019,All,All,1787923052.7576,40990532,523.4154226905667,civhc_coc_fy23_outpatient
Surgery,2019,All,Boulder,84359453.9734699,2165905,467.3858953562778,civhc_coc_fy23_outpatient
Surgery,2019,All,Colorado Springs,196148228.477094,4961425,474.4158667570563,civhc_coc_fy23_outpatient
Surgery,2019,All,Denver,750801935.493338,20987379,429.28767932003586,civhc_coc_fy23_outpatient
Surgery,2019,All,East,129893527.598357,2313863,673.645039131653,civhc_coc_fy23_outpatient
Surgery,2019,All,Ft. Collins,118554488.780624,2438668,583.3733273112568,civhc_coc_fy23_outpatient
Surgery,2019,All,Grand Junction,54832912.5173281,1248107,527.1943432798128,civhc_coc_fy23_outpatient
Surgery,2019,All,Greeley,118856873.270337,2389953,596.7826477106638,civhc_coc_fy23_outpatient
Surgery,2019,All,Pueblo,62320054.9447811,1539694,485.7073284284885,civhc_coc_fy23_outpatient
Surgery,2019,All,West,246584022.817673,3163699,935.3001893707575,civhc_coc_fy23_outpatient
Surgery,2019,CHP+,All,17717457.2711635,949035,224.02702456069798,civhc_coc_fy23_outpatient
Surgery,2019,CHP+,Boulder,708270.95828905,33679,252.36056591551414,civhc_coc_fy23_outpatient
Surgery,2019,CHP+,Colorado Springs,1644514.78969914,101361,194.69201642041494,civhc_coc_fy23_outpatient
