year,payer_type,category,doi_region,claim_type,total_spend,member_months,pppy,source_id
2017,Commercial,Pharmacy,Denver,Pharmacy,732729542.2014,9065309,969.9343405080622,civhc_coc_fy23_total
2017,Commercial,Pharmacy,East,Pharmacy,56506311.41,583766,1161.554007804497,civhc_coc_fy23_total
2017,Commercial,Pharmacy,Ft. Collins,Pharmacy,71236231.09,875971,975.8710882894525,civhc_coc_fy23_total
2017,Commercial,Pharmacy,Grand Junction,Pharmacy,28312332.17,328558,1034.0578711825615,civhc_coc_fy23_total
2017,Commercial,Pharmacy,Greeley,Pharmacy,72023134.37,827058,1045.0024211603056,civhc_coc_fy23_total
2017,Commercial,Pharmacy,Pueblo,Pharmacy,34357742.34,364126,1132.280881013715,civhc_coc_fy23_total
2017,Commercial,Pharmacy,West,Pharmacy,84721769.19,981998,1035.2986770645152,civhc_coc_fy23_total
2017,Medicaid,Medical,All,DME,83381055.0195579,16665330,60.03917475589711,civhc_coc_fy23_total
2017,Medicaid,Medical,All,Inpatient,1267096511.75888,16665330,912.3826615558503,civhc_coc_fy23_total
2017,Medicaid,Medical,All,Long Term Care,1794986001.77018,16665330,1292.493579259586,civhc_coc_fy23_total
2017,Medicaid,Medical,All,Outpatient,1350088412.49172,16665330,972.1416227521831,civhc_coc_fy23_total
2017,Medicaid,Medical,All,Professional,1380026161.72,16665330,993.6985310605911,civhc_coc_fy23_total
2017,Medicaid,Medical,Boulder,DME,2503235.50128915,645600,46.52854091615521,civhc_coc_fy23_total
2017,Medicaid,Medical,Boulder,Professional,60348988.05,645600,1121.7284024163569,civhc_coc_fy23_total
2017,Medicaid,Medical,Boulder,Inpatient,37394909.5520531,645600,695.0726682537751,civhc_coc_fy23_total
2017,Medicaid,Medical,Boulder,Outpatient,41490374.8938745,645600,771.1965593656971,civhc_coc_fy23_total
2017,Medicaid,Medical,Boulder,Long Term Care,92859513.1467908,645600,1726.0132555165578,civhc_coc_fy23_total
2017,Medicaid,Medical,Colorado Springs,DME,12367135.9302187,2509314,59.14191335266308,civhc_coc_fy23_total
2017,Medicaid,Medical,Colorado Springs,Inpatient,134875917.3983,2509314,645.0013863468661,civhc_coc_fy23_total
2017,Medicaid,Medical,Colorado Springs,Long Term Care,249932754.910912,2509314,1195.2242959354408,civhc_coc_fy23_total
2017,Medicaid,Medical,Colorado Springs,Outpatient,166546285.427754,2509314,796.4548976863989,civhc_coc_fy23_total
2017,Medicaid,Medical,Colorado Springs,Professional,212813309.56,2509314,1017.7122969544664,civhc_coc_fy23_total
2017,Medicaid,Medical,Denver,DME,35231496.9152188,7987709,52.92856349456717,civhc_coc_fy23_total
2017,Medicaid,Medical,Denver,Professional,633864311.05,7987709,952.2594942554867,civhc_coc_fy23_total
2017,Medicaid,Medical,Denver,Outpatient,635904707.004486,7987709,955.3247976427072,civhc_coc_fy23_total
2017,Medicaid,Medical,Denver,Long Term Care,805636498.668841,7987709,1210.314244550733,civhc_coc_fy23_total
2017,Medicaid,Medical,Denver,Inpatient,647402216.911023,7987709,972.597600004241,civhc_coc_fy23_total
2017,Medicaid,Medical,East,Long Term Care,142806660.868657,1140037,1503.1792217479642,civhc_coc_fy23_total
2017,Medicaid,Medical,East,Outpatient,125897346.835661,1140037,1325.1922192244042,civhc_coc_fy23_total
2017,Medicaid,Medical,East,Professional,92417724.67,1140037,972.7865815232312,civhc_coc_fy23_total
2017,Medicaid,Medical,East,Inpatient,101745416.344443,1140037,1070.9696230326877,civhc_coc_fy23_total
2017,Medicaid,Medical,East,DME,9012663.15,1140037,94.867059402458,civhc_coc_fy23_total
2017,Medicaid,Medical,Ft. Collins,DME,4207379.91,823913,61.27899295192576,civhc_coc_fy23_total
2017,Medicaid,Medical,Ft. Collins,Inpatient,61704839.1768123,823913,898.7090507392743,civhc_coc_fy23_total
2017,Medicaid,Medical,Ft. Collins,Long Term Care,88300698.1217278,823913,1286.0682832540979,civhc_coc_fy23_total
2017,Medicaid,Medical,Ft. Collins,Outpatient,61118307.3023587,823913,890.1664224600223,civhc_coc_fy23_total
2017,Medicaid,Medical,Ft. Collins,Professional,68239863.39,823913,993.8893556479871,civhc_coc_fy23_total
2017,Medicaid,Medical,Grand Junction,Professional,50098479.5,596849,1007.2593805133292,civhc_coc_fy23_total
2017,Medicaid,Medical,Grand Junction,Long Term Care,89481398.4389087,596849,1799.076116851841,civhc_coc_fy23_total
2017,Medicaid,Medical,Grand Junction,Inpatient,36961917.0298882,596849,743.1410697825721,civhc_coc_fy23_total
2017,Medicaid,Medical,Grand Junction,DME,2532062.31084164,596849,50.908601220911294,civhc_coc_fy23_total
2017,Medicaid,Medical,Grand Junction,Outpatient,44709056.6182337,596849,898.9018653274185,civhc_coc_fy23_total
2017,Medicaid,Medical,Greeley,DME,5389928.32791284,1009606,64.06374361379991,civhc_coc_fy23_total
2017,Medicaid,Medical,Greeley,Inpatient,67427832.4307762,1009606,801.4354007100933,civhc_coc_fy23_total
2017,Medicaid,Medical,Greeley,Long Term Care,83048436.89,1009606,987.0991680715051,civhc_coc_fy23_total
2017,Medicaid,Medical,Greeley,Outpatient,81609864.2708884,1009606,970.0005460057298,civhc_coc_fy23_total
2017,Medicaid,Medical,Greeley,Professional,83068600.21,1009606,987.3388257597518,civhc_coc_fy23_total
2017,Medicaid,Medical,Pueblo,Long Term Care,140443857.856926,880092,1914.9433176112404,civhc_coc_fy23_total
2017,Medicaid,Medical,Pueblo,Professional,95667253.44,880092,1304.417085122919,civhc_coc_fy23_total
2017,Medicaid,Medical,Pueblo,Inpatient,71401839.2788131,880092,973.5596634735427,civhc_coc_fy23_total
2017,Medicaid,Medical,Pueblo,Outpatient,68457517.0692669,880092,933.4140122069089,civhc_coc_fy23_total
2017,Medicaid,Medical,Pueblo,DME,6130634.44607787,880092,83.59082158789586,civhc_coc_fy23_total
2017,Medicaid,Medical,West,Professional,83507631.85,1272091,787.7514912062107,civhc_coc_fy23_total
2017,Medicaid,Medical,West,Outpatient,124354953.069195,1272091,1173.0760117242712,civhc_coc_fy23_total
2017,Medicaid,Medical,West,Long Term Care,102476182.867415,1272091,966.687284485921,civhc_coc_fy23_total
2017,Medicaid,Medical,West,Inpatient,108181623.636777,1272091,1020.5083469982288,civhc_coc_fy23_total
2017,Medicaid,Medical,West,DME,6006518.52799885,1272091,56.661215538814595,civhc_coc_fy23_total
2017,Medicaid,Pharmacy,All,Pharmacy,1113483687.8,15429285,866.0028156586648,civhc_coc_fy23_total
2017,Medicaid,Pharmacy,Boulder,Pharmacy,40399044.16,565466,857.3256922962653,civhc_coc_fy23_total
2017,Medicaid,Pharmacy,Colorado Springs,Pharmacy,156642956.18,2251270,834.9578123281526,civhc_coc_fy23_total
2017,Medicaid,Pharmacy,Denver,Pharmacy,490251064.44,7497659,784.6466174681991,civhc_coc_fy23_total
2017,Medicaid,Pharmacy,East,Pharmacy,75610232.67,987545,918.7660228546548,civhc_coc_fy23_total
2017,Medicaid,Pharmacy,Ft. Collins,Pharmacy,58808453.54,764246,923.3956638045865,civhc_coc_fy23_total
2017,Medicaid,Pharmacy,Grand Junction,Pharmacy,70502003.32,545261,1551.5946305347345,civhc_coc_fy23_total
2017,Medicaid,Pharmacy,Greeley,Pharmacy,68594020.13,931944,883.2378786279004,civhc_coc_fy23_total
2017,Medicaid,Pharmacy,Pueblo,Pharmacy,69615385.77,768614,1086.8714715578951,civhc_coc_fy23_total
2017,Medicaid,Pharmacy,West,Pharmacy,83060527.59,1153385,864.1748688252405,civhc_coc_fy23_total
2017,Medicare,Medical,All,Inpatient,1623791284.02,6357594,3064.916603394303,civhc_coc_fy23_total
2017,Medicare,Medical,All,DME,44300143.91,6357594,83.61680958551301,civhc_coc_fy23_total
2017,Medicare,Medical,All,Professional,1628216013.7,6357594,3073.2683094264908,civhc_coc_fy23_total
2017,Medicare,Medical,All,Outpatient,1553739723.12,6357594,2932.693826853366,civhc_coc_fy23_total
2017,Medicare,Medical,Boulder,Professional,98198234.59,334811,3519.534349468805,civhc_coc_fy23_total
2017,Medicare,Medical,Boulder,DME,1844175.81,334811,66.09731974158555,civhc_coc_fy23_total
2017,Medicare,Medical,Boulder,Outpatient,70078268.66,334811,2511.6833793393885,civhc_coc_fy23_total
2017,Medicare,Medical,Boulder,Inpatient,73586006.49,334811,2637.404618964132,civhc_coc_fy23_total
2017,Medicare,Medical,Colorado Springs,DME,6641722.7,872471,91.35051182216945,civhc_coc_fy23_total
2017,Medicare,Medical,Colorado Springs,Inpatient,207752974.65,872471,2857.442477515012,civhc_coc_fy23_total
2017,Medicare,Medical,Colorado Springs,Outpatient,188733060.76,872471,2595.8418435913627,civhc_coc_fy23_total
2017,Medicare,Medical,Colorado Springs,Professional,251238397.39,872471,3455.542669819398,civhc_coc_fy23_total
2017,Medicare,Medical,Denver,DME,16753950.47,2432356,82.65541953562719,civhc_coc_fy23_total
2017,Medicare,Medical,Denver,Inpatient,647325401.29,2432356,3193.5723288367326,civhc_coc_fy23_total
2017,Medicare,Medical,Denver,Outpatient,562520891.84,2432356,2775.19026905601,civhc_coc_fy23_total
2017,Medicare,Medical,Denver,Professional,681599643.09,2432356,3362.6639016163754,civhc_coc_fy23_total
2017,Medicare,Medical,East,DME,4891858.66,605465,96.9540830931598,civhc_coc_fy23_total
2017,Medicare,Medical,East,Inpatient,178092377.97,605465,3529.6978944117336,civhc_coc_fy23_total
2017,Medicare,Medical,East,Outpatient,189351290.7,605465,3752.8436629697835,civhc_coc_fy23_total
2017,Medicare,Medical,East,Professional,124554920.8,605465,2468.613461719505,civhc_coc_fy23_total
2017,Medicare,Medical,Ft. Collins,Professional,119468749.25,466938,3070.2684103671154,civhc_coc_fy23_total
2017,Medicare,Medical,Ft. Collins,Outpatient,122708402.3,466938,3153.5253665368846,civhc_coc_fy23_total
2017,Medicare,Medical,Ft. Collins,Inpatient,114865556.64,466938,2951.969382830269,civhc_coc_fy23_total
2017,Medicare,Medical,Ft. Collins,DME,2992233.03,466938,76.89842411626383,civhc_coc_fy23_total
2017,Medicare,Medical,Grand Junction,Outpatient,52622611.53,253192,2494.0414324307244,civhc_coc_fy23_total
2017,Medicare,Medical,Grand Junction,Inpatient,57538224.99,253192,2727.016255963854,civhc_coc_fy23_total
2017,Medicare,Medical,Grand Junction,DME,1165873.61,253192,55.25641931814592,civhc_coc_fy23_total
2017,Medicare,Medical,Grand Junction,Professional,43580599.53,253192,2065.49651789946,civhc_coc_fy23_total
2017,Medicare,Medical,Greeley,DME,2288710.03,354011,77.58098013903522,civhc_coc_fy23_total
2017,Medicare,Medical,Greeley,Inpatient,93311735.46,354011,3163.0113909454785,civhc_coc_fy23_total
2017,Medicare,Medical,Greeley,Outpatient,92831581.17,354011,3146.735480083952,civhc_coc_fy23_total
2017,Medicare,Medical,Greeley,Professional,88343387.23,354011,2994.5980400609023,civhc_coc_fy23_total
2017,Medicare,Medical,Pueblo,DME,2131824.96,279738,91.44949745833601,civhc_coc_fy23_total
2017,Medicare,Medical,Pueblo,Professional,77144886.36,279738,3309.305980310147,civhc_coc_fy23_total
2017,Medicare,Medical,Pueblo,Inpatient,74130355.14,279738,3179.990783089891,civhc_coc_fy23_total
2017,Medicare,Medical,Pueblo,Outpatient,68498243.99,279738,2938.3885202582414,civhc_coc_fy23_total
2017,Medicare,Medical,West,DME,5589794.64,758887,88.38935925902011,civhc_coc_fy23_total
2017,Medicare,Medical,West,Inpatient,177188651.39,758887,2801.8187380729933,civhc_coc_fy23_total
2017,Medicare,Medical,West,Outpatient,206395372.17,758887,3263.653832573229,civhc_coc_fy23_total
