payer_type,year,metric,integrated_systems,value_based_payments,total_spend,ffs_spend,apm_spend,pct_ffs,pct_apm,source_id
Unknown,2022,Primary Care Spending,Yes,Included,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2022,Total Medical Spending,No,Excluded,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2022,Total Medical Spending,No,Included,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2022,Total Medical Spending,Yes,Excluded,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2022,Total Medical Spending,Yes,Included,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2023,Primary Care Spending,No,Excluded,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2023,Primary Care Spending,No,Included,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2023,Primary Care Spending,Yes,Excluded,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2023,Primary Care Spending,Yes,Included,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2023,Total Medical Spending,No,Excluded,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2023,Total Medical Spending,No,Included,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2023,Total Medical Spending,Yes,Excluded,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2023,Total Medical Spending,Yes,Included,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2024,Primary Care Spending,No,Excluded,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2024,Primary Care Spending,No,Included,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2024,Primary Care Spending,Yes,Excluded,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2024,Primary Care Spending,Yes,Included,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2024,Total Medical Spending,No,Excluded,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2024,Total Medical Spending,No,Included,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2024,Total Medical Spending,Yes,Excluded,0.0,0.0,0.0,,,civhc_apm_fy26
Unknown,2024,Total Medical Spending,Yes,Included,0.0,0.0,0.0,,,civhc_apm_fy26
