organization_name,claim_type,year,county,urban_rural,doi_region,cah_flag,amb_flag,hospital_pct_medicare,claims,urf_pct_medicare,payer_min,payer_median,payer_max,source_id
CommonSpirit St. Anthony Summit Medical Center,Inpatient/Outpatient Combined,2023,Summit,Rural,West,0,0,4.0337,5250,2.5901,4.0337,2.4878,0.231,civhc_rbp_fy26
CommonSpirit St. Anthony Summit Medical Center,Outpatient,2023,Summit,Rural,West,0,0,5.5547,5037,2.9891,4.8531,2.8358,0.2386,civhc_rbp_fy26
CommonSpirit St. Elizabeth Hospital,Inpatient/Outpatient Combined,2023,Morgan,Rural,East,0,0,3.0658,2637,2.1433,2.3758,2.4878,0.0663,civhc_rbp_fy26
CommonSpirit St. Mary-Corwin Hospital,Outpatient,2024,Pueblo,Urban,Pueblo,0,0,4.0216,5044,3.7342,3.7342,2.524,0.697,civhc_rbp_fy26
CommonSpirit St. Thomas More Hospital,Inpatient,2024,Fremont,Rural,East,0,0,1.7611,30,1.2459,1.7611,1.5378,0.2251,civhc_rbp_fy26
CommonSpirit St. Thomas More Hospital,Inpatient/Outpatient Combined,2021,Fremont,Rural,East,1,0,5.1472,2478,2.1124,4.7386,2.2483,0.0045,civhc_rbp_fy26
CommonSpirit St. Thomas More Hospital,Outpatient,2022,Fremont,Rural,East,0,0,6.1304,238,2.3479,5.1008,2.7132,0.0062,civhc_rbp_fy26
Community Hospital,Outpatient,2021,Mesa,Urban,Grand Junction,0,0,3.6156,17580,3.2289,3.2289,2.4991,0.0205,civhc_rbp_fy26
Cornerstone Surgical Suites,Outpatient,2024,Jefferson,Urban,Denver,0,1,1.0415,102,2.4045,2.5063,2.524,0.7741,civhc_rbp_fy26
Crown Point Surgery Center,Outpatient,2021,Douglas,Urban,Denver,0,1,1.8747,897,2.3417,2.2521,2.4991,0.1147,civhc_rbp_fy26
Day Surgery of Grand Junction,Outpatient,2023,Mesa,Urban,Grand Junction,0,1,0.9735,271,3.7218,3.7218,2.4647,0.0988,civhc_rbp_fy26
Day Surgery of Grand Junction,Outpatient,2024,Mesa,Urban,Grand Junction,0,1,1.0241,188,2.9996,2.9996,2.524,0.5273,civhc_rbp_fy26
Delta Health,Inpatient,2022,Delta,Rural,West,0,0,1.5662,93,1.6768,1.5662,1.6034,1.0103,civhc_rbp_fy26
Delta Health,Inpatient,2023,Delta,Rural,West,0,0,2.3491,73,1.7735,2.3491,1.6874,0.0085,civhc_rbp_fy26
Denver Eye Surgery Center,Outpatient,2021,Jefferson,Urban,Denver,0,1,1.0327,246,2.3417,2.5164,2.4991,0.0451,civhc_rbp_fy26
Denver Health,Outpatient,2021,Denver,Urban,Denver,0,0,0.9798,101820,2.3417,1.9352,2.4991,0.1415,civhc_rbp_fy26
Denver Mid-Town Surgery Center,Outpatient,2023,Denver,Urban,Denver,0,1,1.6205,912,2.2485,1.722,2.4647,0.0008,civhc_rbp_fy26
Denver Surgicenter,Outpatient,2022,Denver,Urban,Denver,0,1,3.1218,1415,2.3542,1.8823,2.528,0.0023,civhc_rbp_fy26
Durango Surgery Center,Outpatient,2023,La Plata,Rural,West,0,1,1.3242,101,2.9891,2.9897,2.8358,0.0031,civhc_rbp_fy26
East Morgan County Hospital,Inpatient,2024,Morgan,Rural,East,1,0,1.0145,40,1.2459,1.4587,1.5378,0.6766,civhc_rbp_fy26
East Morgan County Hospital,Outpatient,2023,Morgan,Rural,East,1,0,2.0359,2341,2.3176,3.1037,2.8358,0.0897,civhc_rbp_fy26
Endoscopy Center of Grand Junction,Outpatient,2021,Mesa,Urban,Grand Junction,0,1,1.698,1334,3.2289,3.2289,2.4991,0.4235,civhc_rbp_fy26
Endoscopy Center of Western Colorado,Outpatient,2022,Mesa,Urban,Grand Junction,0,1,1.3841,207,3.2804,3.2804,2.528,0.0033,civhc_rbp_fy26
Endoscopy Center of the Rockies - Longmont,Outpatient,2023,Boulder,Urban,Boulder,0,1,3.4731,617,2.2475,2.2475,2.4647,1.3913,civhc_rbp_fy26
Estes Park Health,Outpatient,2022,Larimer,Urban,Ft. Collins,1,0,1.7152,2902,2.9914,2.9914,2.528,0.6843,civhc_rbp_fy26
Family Health West,Inpatient/Outpatient Combined,2023,Mesa,Urban,Grand Junction,1,0,2.0366,4651,3.5199,3.5199,2.3251,0.1225,civhc_rbp_fy26
Flatirons Surgery Center,Outpatient,2024,Douglas,Urban,Denver,0,1,2.9103,67,2.4045,2.3549,2.524,1.8486,civhc_rbp_fy26
Focus Hand Surgicenter,Outpatient,2022,Arapahoe,Urban,Denver,0,1,1.792,525,2.3542,2.5388,2.528,0.1381,civhc_rbp_fy26
Front Range Orthopedic Surgery Center,Outpatient,2023,Boulder,Urban,Boulder,0,1,1.5732,494,2.2475,2.2475,2.4647,0.0004,civhc_rbp_fy26
Golden Ridge Ambulatory Surgery Center,Outpatient,2022,Jefferson,Urban,Denver,0,1,1.774,1443,2.3542,2.3461,2.528,0.2396,civhc_rbp_fy26
Grand Junction Endoscopy Center,Outpatient,2023,Mesa,Urban,Grand Junction,0,1,1.9526,46,3.7218,3.7218,2.4647,0.0026,civhc_rbp_fy26
Greenwood Ambulatory Surgery Center - Greenwood Village,Outpatient,2022,Arapahoe,Urban,Denver,0,1,2.0948,222,2.3542,2.5388,2.528,0.0481,civhc_rbp_fy26
Gunnison Valley Hospital,Inpatient,2023,Gunnison,Rural,West,1,0,2.8621,70,1.7735,2.8621,1.6874,0.0004,civhc_rbp_fy26
Gunnison Valley Hospital,Inpatient/Outpatient Combined,2021,Gunnison,Rural,West,1,0,1.9052,7799,2.2831,1.9052,2.2483,0.0361,civhc_rbp_fy26
Gunnison Valley Hospital,Inpatient/Outpatient Combined,2023,Gunnison,Rural,West,1,0,2.0283,7258,2.5901,2.0283,2.4878,0.0041,civhc_rbp_fy26
Harmony Surgery Center,Outpatient,2023,Larimer,Urban,Ft. Collins,0,1,1.3567,4050,2.8627,2.8627,2.4647,0.2547,civhc_rbp_fy26
Haxtun Health,Inpatient/Outpatient Combined,2023,Phillips,Rural,East,1,0,1.1119,445,2.1433,1.4112,2.4878,0.0148,civhc_rbp_fy26
Heart of the Rockies Regional Medical Center,Inpatient,2023,Chaffee,Rural,East,1,0,1.6228,61,1.2034,1.6228,1.6874,1.1516,civhc_rbp_fy26
Heart of the Rockies Regional Medical Center,Outpatient,2022,Chaffee,Rural,East,1,0,2.3791,6833,2.3479,2.3791,2.7132,0.102,civhc_rbp_fy26
Insight Surgery Center,Outpatient,2021,Douglas,Urban,Denver,0,1,0.8915,294,2.3417,2.2521,2.4991,0.0012,civhc_rbp_fy26
Intermountain Health Good Samaritan Medical Center,Inpatient,2022,Boulder,Urban,Boulder,0,0,1.6955,3162,1.6805,1.6805,1.99,0.0013,civhc_rbp_fy26
Intermountain Health Good Samaritan Medical Center,Inpatient/Outpatient Combined,2021,Boulder,Urban,Boulder,0,0,1.8234,19517,1.8368,1.8368,2.2969,0.1103,civhc_rbp_fy26
Intermountain Health Good Samaritan Medical Center,Inpatient/Outpatient Combined,2024,Boulder,Urban,Boulder,0,0,1.9623,17557,2.0548,2.0548,2.3717,1.4767,civhc_rbp_fy26
Intermountain Health Platte Valley Hospital,Inpatient,2024,Adams,Urban,Denver,0,0,1.8352,254,1.9574,2.4352,1.9367,1.2473,civhc_rbp_fy26
Intermountain Health Saint Joseph Hospital,Inpatient,2023,Denver,Urban,Denver,0,0,1.5923,4968,1.941,1.6885,1.9517,0.075,civhc_rbp_fy26
Intermountain Health Saint Joseph Hospital,Inpatient,2024,Denver,Urban,Denver,0,0,1.5921,4659,1.9574,1.6515,1.9367,0.947,civhc_rbp_fy26
Intermountain Health Saint Joseph Hospital,Outpatient,2022,Denver,Urban,Denver,0,0,1.9356,19341,2.3542,1.8823,2.528,0.0977,civhc_rbp_fy26
Intermountain Health St. Mary's Medical Center,Inpatient/Outpatient Combined,2023,Mesa,Urban,Grand Junction,0,0,3.6288,24267,3.5199,3.5199,2.3251,0.0786,civhc_rbp_fy26
Intermountain Health St. Mary's Medical Center,Outpatient,2024,Mesa,Urban,Grand Junction,0,0,3.6001,17461,2.9996,2.9996,2.524,1.6281,civhc_rbp_fy26
Kaiser Foundation Health Plan of Colorado - Lone Tree,Outpatient,2022,Douglas,Urban,Denver,0,1,0.2731,4211,2.3542,2.204,2.528,0.0004,civhc_rbp_fy26
Keefe Memorial Hospital,Outpatient,2021,Cheyenne,Rural,East,1,0,3.5241,890,2.3528,3.5241,2.6902,0.0171,civhc_rbp_fy26
Keefe Memorial Hospital,Outpatient,2024,Cheyenne,Rural,East,1,0,5.9475,1786,2.4156,5.9475,2.891,0.0941,civhc_rbp_fy26
Kit Carson County Health Services District,Inpatient/Outpatient Combined,2021,Kit Carson,Rural,East,1,0,1.4458,1902,2.1124,1.4458,2.2483,0.0134,civhc_rbp_fy26
Lincoln Health,Outpatient,2021,Lincoln,Rural,East,1,0,1.2493,1811,2.3528,1.2493,2.6902,0.0128,civhc_rbp_fy26
Lincoln Surgery Center,Outpatient,2024,Douglas,Urban,Denver,0,1,1.8753,275,2.4045,2.3549,2.524,1.0561,civhc_rbp_fy26
Loveland Endoscopy Center,Outpatient,2024,Larimer,Urban,Ft. Collins,0,1,1.4429,1953,2.7664,2.7664,2.524,0.4071,civhc_rbp_fy26
Madison Street Surgery Center,Outpatient,2024,Denver,Urban,Denver,0,1,1.0784,189,2.4045,1.9042,2.524,0.0034,civhc_rbp_fy26
Melissa Memorial Hospital,Outpatient,2022,Phillips,Rural,East,1,0,1.4185,1236,2.3479,1.3655,2.7132,0.0035,civhc_rbp_fy26
Memorial Regional Health,Outpatient,2024,Moffat,Rural,West,0,0,2.0589,2385,3.0338,2.0589,2.891,0.2286,civhc_rbp_fy26
Middle Park Health - Granby,Inpatient/Outpatient Combined,2024,Grand,Rural,West,1,0,1.9022,1147,2.5642,1.8624,2.4831,0.0024,civhc_rbp_fy26
Mile High Surgicenter,Outpatient,2023,Arapahoe,Urban,Denver,0,1,1.4013,596,2.2485,2.4517,2.4647,0.0684,civhc_rbp_fy26
Montrose Regional Health,Inpatient,2021,Montrose,Rural,West,0,0,2.3315,171,1.5537,2.3315,1.5263,1.7446,civhc_rbp_fy26
Montrose Regional Health,Inpatient,2024,Montrose,Rural,West,0,0,2.0571,141,1.5961,2.0571,1.5378,0.7106,civhc_rbp_fy26
Mt. San Rafael Hospital,Inpatient/Outpatient Combined,2021,Las Animas,Rural,East,1,0,2.9289,1819,2.1124,2.9289,2.2483,0.0061,civhc_rbp_fy26
North Suburban Medical Center,Inpatient,2022,Adams,Urban,Denver,0,0,1.7839,895,2.0119,2.41,1.99,0.0811,civhc_rbp_fy26
Northwest Surgery Center,Outpatient,2024,Jefferson,Urban,Denver,0,1,1.3855,75,2.4045,2.5063,2.524,0.0007,civhc_rbp_fy26
Optumcare Colorado Ambulatory Surgery Center,Outpatient,2024,El Paso,Urban,Colorado Springs,0,1,1.0783,191,2.5757,2.5887,2.524,0.0022,civhc_rbp_fy26
Orthopaedic and Spine Center of the Rockies - Loveland,Outpatient,2021,Larimer,Urban,Ft. Collins,0,1,2.2263,1192,2.9767,2.9767,2.4991,1.2134,civhc_rbp_fy26
Park Ridge Surgery Center,Outpatient,2023,Douglas,Urban,Denver,0,1,2.149,299,2.2485,2.2354,2.4647,0.0005,civhc_rbp_fy26
Parkwest Surgery Center,Outpatient,2021,Pueblo,Urban,Pueblo,0,1,1.0431,279,3.2958,3.2958,2.4991,0.3066,civhc_rbp_fy26
Peak Surgery Center,Outpatient,2024,El Paso,Urban,Colorado Springs,0,1,1.1105,175,2.5757,2.5887,2.524,0.7625,civhc_rbp_fy26
Pioneers Medical Center,Inpatient/Outpatient Combined,2024,Rio Blanco,Rural,West,1,0,1.6915,2346,2.5642,1.3524,2.4831,0.4639,civhc_rbp_fy26
Pioneers Medical Center,Outpatient,2022,Rio Blanco,Rural,West,1,0,1.6039,2324,2.8235,1.1428,2.7132,0.2136,civhc_rbp_fy26
Premier Eye Surgery Center of Colorado,Outpatient,2024,Boulder,Urban,Boulder,0,1,1.8155,239,2.2621,2.2621,2.524,1.4564,civhc_rbp_fy26
Presbyterian/St. Luke's Medical Center,Outpatient,2024,Denver,Urban,Denver,0,0,2.9245,10747,2.4045,1.9042,2.524,0.6246,civhc_rbp_fy26
Prowers Medical Center,Outpatient,2021,Prowers,Rural,East,1,0,1.868,3902,2.3528,1.868,2.6902,0.0055,civhc_rbp_fy26
Prowers Medical Center,Outpatient,2022,Prowers,Rural,East,1,0,1.8538,2945,2.3479,1.8538,2.7132,0.0053,civhc_rbp_fy26
Pueblo Ambulatory Surgery Center,Outpatient,2023,Pueblo,Urban,Pueblo,0,1,1.5508,198,3.4403,3.4403,2.4647,0.0009,civhc_rbp_fy26
Rangely District Hospital,Outpatient,2022,Rio Blanco,Rural,West,1,0,0.6612,1109,2.8235,1.1428,2.7132,0.0063,civhc_rbp_fy26
Rangely District Hospital,Outpatient,2023,Rio Blanco,Rural,West,1,0,0.8011,1195,2.9891,1.1168,2.8358,0.0117,civhc_rbp_fy26
Rio Grande Hospital,Inpatient/Outpatient Combined,2021,Rio Grande,Rural,East,1,0,1.4919,1807,2.1124,1.4919,2.2483,0.0155,civhc_rbp_fy26
Rio Grande Hospital,Inpatient/Outpatient Combined,2024,Rio Grande,Rural,East,1,0,1.2854,1775,2.2207,1.2854,2.4831,0.2091,civhc_rbp_fy26
Rocky Mountain Surgery Center,Outpatient,2022,Arapahoe,Urban,Denver,0,1,1.8154,858,2.3542,2.5388,2.528,0.4278,civhc_rbp_fy26
Rose Medical Center,Inpatient/Outpatient Combined,2022,Denver,Urban,Denver,0,0,2.1587,14008,2.284,1.9245,2.3666,0.0389,civhc_rbp_fy26
Rose Medical Center,Inpatient/Outpatient Combined,2023,Denver,Urban,Denver,0,0,2.0957,14159,2.1927,1.7678,2.3251,0.0083,civhc_rbp_fy26
STATEWIDE,Inpatient/Outpatient Combined,2024,STATEWIDE,STATEWIDE,STATEWIDE,0,0,2.3856,920356,,,,,civhc_rbp_fy26
San Luis Valley Health,Inpatient,2021,Alamosa,Rural,East,0,0,1.4963,127,1.3842,1.4963,1.5263,0.0024,civhc_rbp_fy26
San Luis Valley Health,Inpatient,2023,Alamosa,Rural,East,0,0,1.4321,122,1.2034,1.4321,1.6874,0.0003,civhc_rbp_fy26
San Luis Valley Health,Outpatient,2021,Alamosa,Rural,East,0,0,2.9677,6118,2.3528,2.9677,2.6902,0.2161,civhc_rbp_fy26
San Luis Valley Health Conejos County Hospital,Inpatient/Outpatient Combined,2024,Conejos,Rural,East,1,0,2.0963,739,2.2207,2.0963,2.4831,0.0254,civhc_rbp_fy26
San Luis Valley Health Conejos County Hospital,Outpatient,2021,Conejos,Rural,East,1,0,1.6531,350,2.3528,1.6531,2.6902,0.0109,civhc_rbp_fy26
Sedgwick County Health Center,Outpatient,2021,Sedgwick,Rural,East,1,0,1.3671,575,2.3528,1.3671,2.6902,0.0053,civhc_rbp_fy26
Sedgwick County Health Center,Outpatient,2022,Sedgwick,Rural,East,1,0,1.1993,501,2.3479,1.1993,2.7132,0.0026,civhc_rbp_fy26
South Denver Musculoskeletal Surgical Partners,Outpatient,2023,Arapahoe,Urban,Denver,0,1,1.7905,1103,2.2485,2.4517,2.4647,0.0011,civhc_rbp_fy26
Southeast Colorado Hospital District,Inpatient/Outpatient Combined,2022,Baca,Rural,East,1,0,1.7131,664,2.1472,1.7131,2.3417,0.0169,civhc_rbp_fy26
Southeast Colorado Hospital District,Outpatient,2023,Baca,Rural,East,1,0,1.9969,986,2.3176,1.9969,2.8358,0.0273,civhc_rbp_fy26
Southwest Health System,Inpatient/Outpatient Combined,2021,Montezuma,Rural,West,1,0,1.8569,3870,2.2831,1.8569,2.2483,0.0059,civhc_rbp_fy26
Southwest Health System,Inpatient/Outpatient Combined,2024,Montezuma,Rural,West,1,0,1.9239,3182,2.5642,1.9239,2.4831,0.1665,civhc_rbp_fy26
Spanish Peaks Regional Health Center,Inpatient/Outpatient Combined,2024,Huerfano,Rural,East,1,0,1.2016,910,2.2207,1.2016,2.4831,0.5288,civhc_rbp_fy26
Steamboat Surgery Center,Outpatient,2022,Routt,Rural,West,0,1,2.5313,232,2.8235,3.1321,2.7132,0.0013,civhc_rbp_fy26
Sterling Regional MedCenter,Inpatient/Outpatient Combined,2022,Logan,Rural,East,0,0,2.5464,3025,2.1472,2.5464,2.3417,0.0054,civhc_rbp_fy26
Sterling Regional MedCenter,Outpatient,2021,Logan,Rural,East,0,0,3.5285,3538,2.3528,3.5285,2.6902,0.7448,civhc_rbp_fy26
Sterling Regional MedCenter,Outpatient,2023,Logan,Rural,East,0,0,3.6658,3069,2.3176,3.6658,2.8358,0.2716,civhc_rbp_fy26
Surgery Affiliates,Outpatient,2024,El Paso,Urban,Colorado Springs,0,1,1.5357,636,2.5757,2.5887,2.524,0.0009,civhc_rbp_fy26
Surgery Center of Fort Collins,Outpatient,2022,Larimer,Urban,Ft. Collins,0,1,1.162,212,2.9914,2.9914,2.528,0.0008,civhc_rbp_fy26
Surgery Center of Loveland,Outpatient,2024,Larimer,Urban,Ft. Collins,0,1,1.3051,360,2.7664,2.7664,2.524,0.0007,civhc_rbp_fy26
Surgery Center of Northern Colorado,Outpatient,2023,Larimer,Urban,Ft. Collins,0,1,1.0061,869,2.8627,2.8627,2.4647,0.1048,civhc_rbp_fy26
Surgical Center of Peak Endoscopy,Outpatient,2021,El Paso,Urban,Colorado Springs,0,1,1.1285,429,2.5464,2.5524,2.4991,0.3562,civhc_rbp_fy26
Swedish Medical Center,Inpatient,2021,Arapahoe,Urban,Denver,0,0,2.7875,1674,1.8993,2.5192,1.9401,0.1861,civhc_rbp_fy26
Swedish Medical Center,Inpatient,2023,Arapahoe,Urban,Denver,0,0,2.6021,1412,1.941,2.3093,1.9517,0.4687,civhc_rbp_fy26
Swedish Medical Center,Inpatient/Outpatient Combined,2021,Arapahoe,Urban,Denver,0,0,2.9224,14065,2.1842,2.7136,2.2969,0.1872,civhc_rbp_fy26
Swedish Medical Center,Outpatient,2021,Arapahoe,Urban,Denver,0,0,3.1743,12391,2.3417,2.5878,2.4991,0.0878,civhc_rbp_fy26
The Medical Center of Aurora,Inpatient/Outpatient Combined,2021,Arapahoe,Urban,Denver,0,0,2.5914,5341,2.1842,2.7136,2.2969,0.1128,civhc_rbp_fy26
The Medical Center of Aurora,Inpatient/Outpatient Combined,2022,Arapahoe,Urban,Denver,0,0,2.3844,4871,2.284,2.6168,2.3666,0.1048,civhc_rbp_fy26
The Medical Center of Aurora,Outpatient,2022,Arapahoe,Urban,Denver,0,0,3.5422,4071,2.3542,2.5388,2.528,0.3193,civhc_rbp_fy26
The Medical Center of Aurora,Outpatient,2024,Arapahoe,Urban,Denver,0,0,3.3555,6307,2.4045,2.6401,2.524,2.2827,civhc_rbp_fy26
The Surgery Center at Lone Tree,Outpatient,2023,Douglas,Urban,Denver,0,1,1.6525,500,2.2485,2.2354,2.4647,0.0896,civhc_rbp_fy26
UCHealth Ambulatory Surgery Center - Englewood,Outpatient,2021,Arapahoe,Urban,Denver,0,1,1.1986,1058,2.3417,2.5878,2.4991,0.1968,civhc_rbp_fy26
UCHealth Ambulatory Surgery Center - Longmont,Outpatient,2022,Weld,Urban,Greeley,0,1,1.0658,790,2.9279,2.9279,2.528,0.4171,civhc_rbp_fy26
UCHealth Broomfield Hospital,Outpatient,2021,Jefferson,Urban,Denver,0,0,3.1057,2806,2.3417,2.5164,2.4991,0.0375,civhc_rbp_fy26
UCHealth Grandview Hospital,Inpatient/Outpatient Combined,2021,El Paso,Urban,Colorado Springs,0,0,2.5086,2862,2.3855,2.3882,2.2969,0.1324,civhc_rbp_fy26
UCHealth Greeley  Hospital,Inpatient,2022,Weld,Urban,Greeley,0,0,1.9692,429,1.8494,1.8494,1.99,0.0033,civhc_rbp_fy26
UCHealth Greeley  Hospital,Inpatient,2024,Weld,Urban,Greeley,0,0,1.7888,478,1.9078,1.9078,1.9367,1.4952,civhc_rbp_fy26
UCHealth Greeley  Hospital,Outpatient,2023,Weld,Urban,Greeley,0,0,3.5691,13375,2.9683,2.9683,2.4647,0.0132,civhc_rbp_fy26
UCHealth Longs Peak Hospital,Inpatient/Outpatient Combined,2024,Weld,Urban,Greeley,0,0,2.6943,17879,2.6212,2.6212,2.3717,1.1868,civhc_rbp_fy26
UCHealth Longs Peak Hospital,Outpatient,2023,Weld,Urban,Greeley,0,0,3.2961,17813,2.9683,2.9683,2.4647,0.0908,civhc_rbp_fy26
UCHealth Memorial Hospital,Inpatient,2024,El Paso,Urban,Colorado Springs,0,0,1.8215,2413,1.8668,1.8666,1.9367,0.2042,civhc_rbp_fy26
UCHealth Parkview Pueblo West,Inpatient/Outpatient Combined,2023,Pueblo,Urban,Pueblo,0,0,3.4757,3168,2.9153,2.9153,2.3251,0.022,civhc_rbp_fy26
UCHealth Parkview Pueblo West,Outpatient,2023,Pueblo,Urban,Pueblo,0,0,3.68,3125,3.4403,3.4403,2.4647,0.0241,civhc_rbp_fy26
UCHealth Pikes Peak Regional Hospital,Inpatient/Outpatient Combined,2021,Teller,Urban,Colorado Springs,1,0,2.2404,3922,2.3855,2.2404,2.2969,0.1017,civhc_rbp_fy26
UCHealth Poudre Valley Hospital,Inpatient,2022,Larimer,Urban,Ft. Collins,0,0,2.2982,1451,2.2229,2.2229,1.99,0.5385,civhc_rbp_fy26
UCHealth Poudre Valley Hospital,Outpatient,2022,Larimer,Urban,Ft. Collins,0,0,3.4124,40981,2.9914,2.9914,2.528,0.1535,civhc_rbp_fy26
UCHealth Poudre Valley Hospital,Outpatient,2024,Larimer,Urban,Ft. Collins,0,0,3.1503,37872,2.7664,2.7664,2.524,1.6329,civhc_rbp_fy26
UCHealth University of Colorado Hospital,Outpatient,2023,Adams,Urban,Denver,0,0,2.8982,133695,2.2485,2.9273,2.4647,0.2593,civhc_rbp_fy26
UCHealth Yampa Valley Medical Center,Outpatient,2024,Routt,Rural,West,0,0,3.4273,15841,3.0338,3.2997,2.891,1.0588,civhc_rbp_fy26
Vail Health Hospital,Inpatient/Outpatient Combined,2021,Eagle,Rural,West,0,0,2.2082,13061,2.2831,2.2082,2.2483,0.5234,civhc_rbp_fy26
Vail Health Hospital,Inpatient/Outpatient Combined,2024,Eagle,Rural,West,0,0,2.549,12725,2.5642,2.549,2.4831,0.8399,civhc_rbp_fy26
Valley View Hospital,Inpatient,2022,Garfield,Rural,West,0,0,2.5771,353,1.6768,2.4884,1.6034,0.0018,civhc_rbp_fy26
Weisbrod Memorial County Hospital,Inpatient/Outpatient Combined,2022,Kiowa,Rural,East,1,0,0.7964,641,2.1472,0.7964,2.3417,0.0024,civhc_rbp_fy26
Wray Community District Hospital,Inpatient/Outpatient Combined,2024,Yuma,Rural,East,1,0,1.5919,1920,2.2207,1.4325,2.4831,0.5362,civhc_rbp_fy26
Wray Community District Hospital,Outpatient,2022,Yuma,Rural,East,1,0,1.4834,2923,2.3479,1.4304,2.7132,0.0027,civhc_rbp_fy26
