organization_name,claim_type,year,county,urban_rural,doi_region,cah_flag,amb_flag,hospital_pct_medicare,claims,urf_pct_medicare,payer_min,payer_median,payer_max,source_id
North Suburban Medical Center,Outpatient,2022,Adams,Urban,Denver,0,0,3.6495,8761,2.3542,3.2477,2.528,0.0614,civhc_rbp_fy26
North Suburban Medical Center,Outpatient,2024,Adams,Urban,Denver,0,0,3.621,6883,2.4045,3.0768,2.524,1.6603,civhc_rbp_fy26
North Suburban Spine Center,Outpatient,2024,Adams,Urban,Denver,0,1,1.5483,186,2.4045,3.0768,2.524,0.0028,civhc_rbp_fy26
Northglenn Endoscopy Center,Outpatient,2021,Adams,Urban,Denver,0,1,2.2205,849,2.3417,2.9458,2.4991,0.0025,civhc_rbp_fy26
Novamed Surgery Center of Colorado Springs,Outpatient,2024,El Paso,Urban,Colorado Springs,0,1,1.1227,295,2.5757,2.5887,2.524,0.6273,civhc_rbp_fy26
Novamed Surgery Center of Denver,Outpatient,2022,Arapahoe,Urban,Denver,0,1,1.1805,396,2.3542,2.5388,2.528,0.0008,civhc_rbp_fy26
Novamed Surgery Center of Denver,Outpatient,2023,Arapahoe,Urban,Denver,0,1,1.1785,413,2.2485,2.4517,2.4647,0.0014,civhc_rbp_fy26
Pagosa Springs Medical Center,Inpatient/Outpatient Combined,2022,Archuleta,Rural,West,1,0,1.3852,1661,2.3988,1.3852,2.3417,0.1911,civhc_rbp_fy26
Pagosa Springs Medical Center,Outpatient,2023,Archuleta,Rural,West,1,0,1.5022,2190,2.9891,1.5022,2.8358,0.0024,civhc_rbp_fy26
Park Avenue Surgery Center,Outpatient,2022,Denver,Urban,Denver,0,1,0.9254,91,2.3542,1.8823,2.528,0.5957,civhc_rbp_fy26
Park Avenue Surgery Center,Outpatient,2023,Denver,Urban,Denver,0,1,1.0281,138,2.2485,1.722,2.4647,0.0011,civhc_rbp_fy26
Peak One Surgery Center,Outpatient,2024,Summit,Rural,West,0,1,3.827,506,3.0338,4.9487,2.891,1.9038,civhc_rbp_fy26
Peak Surgery Center,Outpatient,2021,El Paso,Urban,Colorado Springs,0,1,1.0917,235,2.5464,2.5524,2.4991,0.0013,civhc_rbp_fy26
Pioneers Medical Center,Inpatient/Outpatient Combined,2023,Rio Blanco,Rural,West,1,0,1.571,2486,2.5901,1.2629,2.4878,0.1821,civhc_rbp_fy26
Pioneers Medical Center,Outpatient,2021,Rio Blanco,Rural,West,1,0,1.5638,2396,2.7793,1.2341,2.6902,1.1183,civhc_rbp_fy26
Premier Eye Surgery Center of Colorado,Outpatient,2021,Boulder,Urban,Boulder,0,1,2.1807,157,2.0417,2.0417,2.4991,0.0038,civhc_rbp_fy26
Presbyterian/St. Luke's Medical Center,Inpatient/Outpatient Combined,2021,Denver,Urban,Denver,0,0,2.5589,13399,2.1842,1.8191,2.2969,0.0637,civhc_rbp_fy26
Presbyterian/St. Luke's Medical Center,Outpatient,2022,Denver,Urban,Denver,0,0,2.9653,12060,2.3542,1.8823,2.528,0.0211,civhc_rbp_fy26
Prowers Medical Center,Inpatient,2023,Prowers,Rural,East,1,0,1.2147,38,1.2034,1.2147,1.6874,1.0426,civhc_rbp_fy26
Prowers Medical Center,Inpatient/Outpatient Combined,2022,Prowers,Rural,East,1,0,1.8392,2953,2.1472,1.8392,2.3417,0.0053,civhc_rbp_fy26
Rangely District Hospital,Inpatient/Outpatient Combined,2021,Rio Blanco,Rural,West,1,0,0.775,978,2.2831,1.3928,2.2483,0.0129,civhc_rbp_fy26
Red Rocks Surgery Centers,Outpatient,2023,Jefferson,Urban,Denver,0,1,1.3632,276,2.2485,2.426,2.4647,0.1013,civhc_rbp_fy26
Rio Grande Hospital,Inpatient/Outpatient Combined,2022,Rio Grande,Rural,East,1,0,1.3251,2024,2.1472,1.3251,2.3417,0.0205,civhc_rbp_fy26
Rio Grande Hospital,Inpatient/Outpatient Combined,2023,Rio Grande,Rural,East,1,0,1.3399,2234,2.1433,1.3399,2.4878,0.0069,civhc_rbp_fy26
Rocky Mountain Surgery Center,Outpatient,2023,Arapahoe,Urban,Denver,0,1,1.8249,867,2.2485,2.4517,2.4647,0.0948,civhc_rbp_fy26
Rose Ambulatory Surgery Center,Outpatient,2022,Denver,Urban,Denver,0,1,1.9419,1911,2.3542,1.8823,2.528,0.0014,civhc_rbp_fy26
Rose Ambulatory Surgery Center,Outpatient,2023,Denver,Urban,Denver,0,1,1.9308,2074,2.2485,1.722,2.4647,0.0784,civhc_rbp_fy26
Rose Medical Center,Outpatient,2021,Denver,Urban,Denver,0,0,2.9561,12143,2.3417,1.9352,2.4991,0.0119,civhc_rbp_fy26
STATEWIDE,Inpatient,2022,STATEWIDE,STATEWIDE,STATEWIDE,0,0,1.965,44306,,,,,civhc_rbp_fy26
STATEWIDE,Inpatient,2023,STATEWIDE,STATEWIDE,STATEWIDE,0,0,1.9346,42578,,,,,civhc_rbp_fy26
San Luis Valley Health Conejos County Hospital,Inpatient/Outpatient Combined,2022,Conejos,Rural,East,1,0,1.6239,557,2.1472,1.6239,2.3417,0.0122,civhc_rbp_fy26
San Luis Valley Health Conejos County Hospital,Outpatient,2022,Conejos,Rural,East,1,0,1.7804,554,2.3479,1.7804,2.7132,0.0122,civhc_rbp_fy26
Sky Ridge Medical Center,Inpatient,2021,Douglas,Urban,Denver,0,0,1.9124,4489,1.8993,1.8516,1.9401,0.0275,civhc_rbp_fy26
Sky Ridge Medical Center,Outpatient,2024,Douglas,Urban,Denver,0,0,2.6803,12395,2.4045,2.3549,2.524,0.6356,civhc_rbp_fy26
Sky Ridge Surgery Center,Outpatient,2024,Douglas,Urban,Denver,0,1,1.6668,1307,2.4045,2.3549,2.524,0.8519,civhc_rbp_fy26
South Denver Gastroenterology Castle Rock Endoscopy Center,Outpatient,2022,Douglas,Urban,Denver,0,1,2.3451,253,2.3542,2.204,2.528,2.1271,civhc_rbp_fy26
Southeast Colorado Hospital District,Inpatient/Outpatient Combined,2024,Baca,Rural,East,1,0,2.0698,772,2.2207,2.0698,2.4831,0.2527,civhc_rbp_fy26
Southwest Endoscopy Center,Outpatient,2022,La Plata,Rural,West,0,1,1.5102,206,2.8235,3.2928,2.7132,0.0024,civhc_rbp_fy26
Southwest Health System,Inpatient,2021,Montezuma,Rural,West,1,0,1.5682,52,1.5537,1.5682,1.5263,0.0003,civhc_rbp_fy26
Spanish Peaks Regional Health Center,Inpatient/Outpatient Combined,2022,Huerfano,Rural,East,1,0,1.2372,810,2.1472,1.2372,2.3417,0.0038,civhc_rbp_fy26
Spanish Peaks Regional Health Center,Outpatient,2024,Huerfano,Rural,East,1,0,1.2694,905,2.4156,1.2694,2.891,0.5288,civhc_rbp_fy26
St. Vincent Health,Outpatient,2021,Lake,Rural,West,1,0,1.0841,777,2.7793,1.0841,2.6902,0.0032,civhc_rbp_fy26
Sterling Regional MedCenter,Inpatient,2024,Logan,Rural,East,0,0,0.9726,85,1.2459,0.9726,1.5378,0.8213,civhc_rbp_fy26
Sterling Regional MedCenter,Outpatient,2022,Logan,Rural,East,0,0,3.4143,2937,2.3479,3.4143,2.7132,0.0094,civhc_rbp_fy26
Summit Orthopedic Surgery Center,Outpatient,2024,Summit,Rural,West,0,1,3.4383,505,3.0338,4.9487,2.891,1.1577,civhc_rbp_fy26
Summit View Surgery Center,Outpatient,2023,Arapahoe,Urban,Denver,0,1,1.3081,261,2.2485,2.4517,2.4647,0.0015,civhc_rbp_fy26
Surgery Center of Loveland,Outpatient,2022,Larimer,Urban,Ft. Collins,0,1,1.2056,270,2.9914,2.9914,2.528,0.1817,civhc_rbp_fy26
Surgery Center of Loveland,Outpatient,2023,Larimer,Urban,Ft. Collins,0,1,1.3616,398,2.8627,2.8627,2.4647,0.0015,civhc_rbp_fy26
Surgery Center of Northern Colorado,Outpatient,2021,Larimer,Urban,Ft. Collins,0,1,1.0387,969,2.9767,2.9767,2.4991,0.0011,civhc_rbp_fy26
The Medical Center of Aurora,Inpatient,2023,Arapahoe,Urban,Denver,0,0,2.1779,776,1.941,2.3093,1.9517,0.0414,civhc_rbp_fy26
The Medical Center of Aurora,Inpatient,2024,Arapahoe,Urban,Denver,0,0,2.0192,812,1.9574,2.2722,1.9367,0.2987,civhc_rbp_fy26
The Surgery Center at Lone Tree,Outpatient,2022,Douglas,Urban,Denver,0,1,1.8831,597,2.3542,2.204,2.528,0.0385,civhc_rbp_fy26
UCHealth Ambulatory Surgery Center - Colorado Springs,Outpatient,2024,El Paso,Urban,Colorado Springs,0,1,1.2597,83,2.5757,2.5887,2.524,0.5763,civhc_rbp_fy26
UCHealth Ambulatory Surgery Center - Englewood,Outpatient,2024,Arapahoe,Urban,Denver,0,1,1.118,1073,2.4045,2.6401,2.524,0.4971,civhc_rbp_fy26
UCHealth Broomfield Hospital,Inpatient/Outpatient Combined,2022,Jefferson,Urban,Denver,0,0,2.4872,4237,2.284,2.4506,2.3666,0.0322,civhc_rbp_fy26
UCHealth Broomfield Hospital,Inpatient/Outpatient Combined,2023,Jefferson,Urban,Denver,0,0,2.8818,4954,2.1927,2.5541,2.3251,0.0315,civhc_rbp_fy26
UCHealth Grandview Hospital,Outpatient,2024,El Paso,Urban,Colorado Springs,0,0,2.8517,4276,2.5757,2.5887,2.524,1.1488,civhc_rbp_fy26
UCHealth Highlands Ranch Hospital,Outpatient,2024,Douglas,Urban,Denver,0,0,2.8951,10065,2.4045,2.3549,2.524,1.6581,civhc_rbp_fy26
UCHealth Medical Center of the Rockies,Inpatient/Outpatient Combined,2023,Larimer,Urban,Ft. Collins,0,0,2.9477,21996,2.7432,2.7432,2.3251,0.5778,civhc_rbp_fy26
UCHealth Parkview Medical Center,Inpatient,2024,Pueblo,Urban,Pueblo,0,0,1.8253,707,1.8092,1.8092,1.9367,1.1225,civhc_rbp_fy26
UCHealth Parkview Medical Center,Inpatient/Outpatient Combined,2022,Pueblo,Urban,Pueblo,0,0,2.7719,12032,2.9285,2.9285,2.3666,0.0262,civhc_rbp_fy26
UCHealth Parkview Medical Center,Outpatient,2021,Pueblo,Urban,Pueblo,0,0,3.5208,12936,3.2958,3.2958,2.4991,0.2524,civhc_rbp_fy26
UCHealth Parkview Medical Center,Outpatient,2024,Pueblo,Urban,Pueblo,0,0,3.6203,10522,3.7342,3.7342,2.524,1.5125,civhc_rbp_fy26
UCHealth Parkview Pueblo West,Inpatient,2023,Pueblo,Urban,Pueblo,0,0,2.0798,43,1.8114,1.8114,1.9517,0.0018,civhc_rbp_fy26
UCHealth Parkview Pueblo West,Inpatient,2024,Pueblo,Urban,Pueblo,0,0,1.9995,31,1.8092,1.8092,1.9367,1.0012,civhc_rbp_fy26
UCHealth Pikes Peak Regional Hospital,Inpatient/Outpatient Combined,2022,Teller,Urban,Colorado Springs,1,0,2.4798,4436,2.4589,2.4798,2.3666,0.0447,civhc_rbp_fy26
UCHealth Poudre Valley Hospital,Inpatient/Outpatient Combined,2024,Larimer,Urban,Ft. Collins,0,0,2.7152,39194,2.6442,2.6442,2.3717,0.547,civhc_rbp_fy26
UCHealth University of Colorado Hospital,Inpatient,2021,Adams,Urban,Denver,0,0,2.5333,1933,1.8993,2.2662,1.9401,0.2658,civhc_rbp_fy26
UCHealth University of Colorado Hospital,Outpatient,2024,Adams,Urban,Denver,0,0,2.9949,123332,2.4045,3.0768,2.524,0.8472,civhc_rbp_fy26
UCHealth Yampa Valley Medical Center,Inpatient,2024,Routt,Rural,West,0,0,1.1475,176,1.5961,1.1475,1.5378,0.6794,civhc_rbp_fy26
UCHealth Yampa Valley Medical Center,Outpatient,2022,Routt,Rural,West,0,0,3.2134,14865,2.8235,3.1321,2.7132,0.2589,civhc_rbp_fy26
Urology Surgery Center of Colorado,Outpatient,2022,Denver,Urban,Denver,0,1,2.1544,749,2.3542,1.8823,2.528,0.3586,civhc_rbp_fy26
