ccn,dtc_rs_rate,readmission_rsrr,mspb_score,source,source_date
05T145,70.48,9.36,1.05,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T152,65.55,8.70,1.12,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T158,60.08,9.26,1.10,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T168,77.48,8.14,0.99,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T169,54.97,9.99,1.06,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T174,74.82,8.32,1.03,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T180,73.47,7.89,0.92,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T191,65.43,8.99,1.05,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T204,69.15,8.54,1.05,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T224,75.41,7.84,1.01,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T235,65.60,8.80,1.00,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T236,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T238,74.04,9.36,0.97,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T239,64.84,8.72,1.02,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T242,70.93,8.37,0.96,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T243,69.13,9.51,0.95,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T248,73.93,9.85,1.00,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T262,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T281,73.51,8.72,1.06,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T283,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T308,69.71,8.82,1.06,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T309,75.69,8.46,1.05,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T320,62.52,9.15,1.03,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T327,74.85,8.47,1.10,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T336,72.77,8.85,0.92,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T348,73.57,8.13,0.87,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T380,75.05,9.08,1.03,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T382,66.47,8.98,1.07,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T396,73.82,8.66,0.91,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T417,66.37,8.94,0.92,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T438,69.08,8.71,0.98,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T441,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T457,64.88,9.10,0.97,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T471,66.47,9.94,1.07,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T485,69.96,10.10,0.99,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T498,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T549,70.72,8.40,0.95,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T567,74.65,9.43,0.94,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T580,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T603,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T624,72.49,9.54,0.96,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T668,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T717,66.52,8.60,1.41,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T737,66.54,9.62,0.97,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T739,60.62,8.99,1.11,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05T782,66.89,10.02,1.00,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
05TA46,,,0.96,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
063027,68.96,8.89,0.92,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
063030,63.06,8.85,0.96,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
063033,73.40,7.67,1.03,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
063034,67.63,8.22,0.95,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
063035,61.89,9.55,1.18,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
063036,66.05,8.69,1.04,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
063037,68.89,7.71,1.09,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
063038,65.84,8.38,1.03,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
063039,67.97,9.11,0.98,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
06T006,66.24,9.37,0.89,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
06T010,70.43,7.99,0.90,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
06T015,63.48,8.41,0.92,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
06T020,70.93,8.84,0.90,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
06T022,70.89,8.30,0.95,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
06T023,68.56,7.48,0.91,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
06T024,70.95,8.84,0.88,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
06T031,63.75,9.38,1.00,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
06T034,66.25,9.20,1.02,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
06T064,,,,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
06T112,69.78,8.72,1.37,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
06T129,70.42,8.62,0.92,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
06TA09,64.07,8.77,1.11,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
073025,65.93,8.09,0.98,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
07T006,53.97,8.37,0.99,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
07T007,58.58,9.59,1.07,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
07T022,59.66,7.75,0.98,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
07T025,73.91,8.34,0.97,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
07T028,70.93,9.24,1.02,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
07T033,60.88,9.20,0.96,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
083026,77.87,8.34,0.95,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
083027,75.02,8.44,0.91,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
083028,69.41,9.80,0.97,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
08T001,66.15,9.88,0.83,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
093025,63.09,9.29,0.98,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
09T001,69.12,9.90,0.90,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103026,58.96,9.86,1.14,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103027,52.49,11.10,1.17,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103028,65.37,11.83,1.03,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103031,69.12,11.80,1.05,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103032,71.54,8.89,1.02,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103033,68.51,11.12,0.99,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103034,69.91,10.85,1.01,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103036,66.15,12.26,1.19,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103037,65.62,11.77,1.09,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
103038,67.15,9.49,1.12,CMS Inpatient Rehabilitation Facility Compare — General Information + Provider Data,2026-02-13
